mcap,liquidity,buy,sell,tax,scams,owner,worth,contract_age,pair_age,funding_time,source,holds,spoofed,snipers,fresh,whales,airdrops,amount,wallet,ape_score,safu_score,result,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,eth_unit,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,wallet_id,safu_score_qty,printed
132632,11.8,,161,5/6.2,0.21428571428571427,RENOUNCED (12),6244.0,24,20,3,Bybit,176 (100.1 ETH),0 own 0%,9 own 11.2%,5 own 7.7%,1 own 0.8%,1.0,94.0,399303,11,100,-34.3321,5,6.2,RENOUNCED,12,176.0,100.1,ETH),0.0,0.0,9.0,11.2,5.0,7.7,1.0,0.8,0xA55...4B,30,False
19446,4.3,33,0,0/9.2,0.8823529411764706,0xd4C...58  (5),367.0,3,1,7,Binance,29 (280.0 ETH),0 own 0%,20 own 0.4%,16 own 0%,3 own 5.3%,0.0,94.0,3385,12,84,-48.7909,0,9.2,INDIVIDUAL,5,29.0,280.0,ETH),0.0,0.0,20.0,0.4,16.0,0.0,3.0,5.3,0xAcb...f8,38,False
21349,3.0,588,447,0/0,0.4461538461538462,RENOUNCED (14),9916.0,13,4,2,Binance,138 (148.5 ETH),1 own 0.5%,7 own 5%,5 own 1.8%,2 own 2.3%,1.0,94.0,7839,21,79,-35.2129,0,0,RENOUNCED,14,138.0,148.5,ETH),1.0,0.5,7.0,5.0,5.0,1.8,2.0,2.3,0x0B1...66,43,False
856,0.3,34,1,0/0,0.0,0x876...E1  (6),1232.0,27,22,2880,INDIVIDUAL,46 (74.3 ETH),0 own 0%,1 own 0.5%,11 own 5.5%,0 own 0%,0.0,301.0,3499,26,85,134.4532,0,0,INDIVIDUAL,6,46.0,74.3,ETH),0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,0xdda...30,40,True
1188,0.4,34,1,0/0,0.0,0x876...E1  (6),1232.0,27,22,2880,INDIVIDUAL,46 (74.2 ETH),0 own 0%,1 own 0.5%,11 own 5.5%,0 own 0%,0.0,67.0,5595,33,87,272.6794,0,0,INDIVIDUAL,6,46.0,74.2,ETH),0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,0xd5B...5D,31,True
16979,1.5,404,5,0/0,0.0,0x876...E1  (6),1232.0,29,23,2880,INDIVIDUAL,180 (134.3 ETH),0 own 0%,1 own 0.5%,12 own 5.9%,1 own 0.5%,0.0,56.0,6430,37,75,-42.3455,0,0,INDIVIDUAL,6,180.0,134.3,ETH),0.0,0.0,1.0,0.5,12.0,5.9,1.0,0.5,0xd2f...E7,392,False
286471,8.8,,27,0/0,0.6666666666666666,RENOUNCED (19),13917.0,9,8,1,Binance,99 (76.0 ETH),0 own 0%,4 own 1%,3 own 18.7%,0 own 0%,4.0,566.0,7824,21,79,-30.3172,0,0,RENOUNCED,19,99.0,76.0,ETH),0.0,0.0,4.0,1.0,3.0,18.7,0.0,0.0,0x0B1...66,43,False
48199,8.5,306,261,0/0,0.55,RENOUNCED (16),9033.0,26,14,1440,INDIVIDUAL,114 (405.1 ETH),0 own 0%,4 own 3%,3 own 11.1%,3 own 4.6%,2.0,507.0,23327,17,100,-30.2883,0,0,RENOUNCED,16,114.0,405.1,ETH),0.0,0.0,4.0,3.0,3.0,11.1,3.0,4.6,ketamine69.eth,4,False
99101,8.6,274,112,0/0,0.7157360406091371,0x83D...2D  (10),652.0,12,7,1,FixedFloat,125 (207.3 ETH),0 own 0%,19 own 18.7%,4 own 3.6%,2 own 2.3%,0.0,188.0,91514,18,100,-30.1833,0,0,INDIVIDUAL,10,125.0,207.3,ETH),0.0,0.0,19.0,18.7,4.0,3.6,2.0,2.3,0x467...Fc,5,False
89960,8.2,306,135,0/0,0.7157360406091371,0x83D...2D  (10),652.0,21,15,1,FixedFloat,134 (207.9 ETH),0 own 0%,19 own 18.4%,4 own 3.6%,2 own 2.3%,0.0,94.0,3287,8,94,-31.527,0,0,INDIVIDUAL,10,134.0,207.9,ETH),0.0,0.0,19.0,18.4,4.0,3.6,2.0,2.3,0xdFe...Fd,33,False
149378,6.4,,66,0/0,0.6666666666666666,RENOUNCED (19),13910.0,17,17,1,Binance,84 (73.2 ETH),0 own 0%,3 own 0.9%,2 own 18.3%,0 own 0%,4.0,309.0,5245,24,100,-34.3381,0,0,RENOUNCED,19,84.0,73.2,ETH),0.0,0.0,3.0,0.9,2.0,18.3,0.0,0.0,joebiden.eth,14,False
36702,6.0,220,179,5/7.7,0.3333333333333333,RENOUNCED (35),12788.0,56,30,3,Binance,104 (50.4 ETH),1 own 0.1%,4 own 2.7%,2 own 0.6%,0 own 0%,15.0,188.0,3858,17,98,104.9597,5,7.7,RENOUNCED,35,104.0,50.4,ETH),1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,0x61d...D4,87,True
467692,11.8,,171,3/3,0.7857142857142857,RENOUNCED (18),0.0,7202,7201,7200,Kucoin,123 (95.9 ETH),0 own 0%,1 own 0.4%,6 own 31.4%,0 own 0%,3.0,1130.0,11380,22,92,-34.0266,3,3,RENOUNCED,18,123.0,95.9,ETH),0.0,0.0,1.0,0.4,6.0,31.4,0.0,0.0,0x6A9...f1,38,False
1554,0.6,23,0,0/0,0.0,0x704...47  (6),856.0,26,23,1,INDIVIDUAL,24 (21.4 ETH),0 own 0%,1 own 0.8%,4 own 3.6%,0 own 0%,0.0,54.0,4553,22,63,100.579,0,0,INDIVIDUAL,6,24.0,21.4,ETH),0.0,0.0,1.0,0.8,4.0,3.6,0.0,0.0,😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴.eth,56,True
9320,2.2,30,0,20/35.7,0.6923076923076923,0xCB5...AF  (5),369.0,5765,0,5760,FixedFloat,33 (64.3 ETH),0 own 0%,23 own 28.4%,1 own 0.8%,1 own 1.6%,1.0,188.0,6221,37,75,102.2784,20,35.7,INDIVIDUAL,5,33.0,64.3,ETH),0.0,0.0,23.0,28.4,1.0,0.8,1.0,1.6,0xd2f...E7,393,True
3996,1.0,63,3,0/0,0.0,0x704...47  (6),855.0,47,44,1,INDIVIDUAL,49 (123.8 ETH),0 own 0%,1 own 0.8%,5 own 4.5%,1 own 0.9%,0.0,31.0,55530,34,86,-31.3768,0,0,INDIVIDUAL,6,49.0,123.8,ETH),0.0,0.0,1.0,0.8,5.0,4.5,1.0,0.9,0xb8f...57,176,False
28425,3.9,171,104,2/2.9,0.3,RENOUNCED (11),524.0,41,50,1,Coinbase,97 (25.5 ETH),0 own 0%,2 own 3%,1 own 0.8%,0 own 0%,0.0,188.0,71627,17,100,-30.345,2,2.9,RENOUNCED,11,97.0,25.5,ETH),0.0,0.0,2.0,3.0,1.0,0.8,0.0,0.0,0xfaf...d8,5,False
3088,1.0,25,20,10/29.9,0.35714285714285715,0x856...c3  (15),185.0,41,30,11,INDIVIDUAL,17 (1.5 ETH),1 own 0%,0 own 0%,7 own 14.9%,0 own 0%,2.0,86.0,3202,23,95,-34.0148,10,29.9,INDIVIDUAL,15,17.0,1.5,ETH),1.0,0.0,0.0,0.0,7.0,14.9,0.0,0.0,0xc8c...AC,40,False
38633,3.8,442,232,1/1,0.0,RENOUNCED (21),1444.0,39,6,2,Kucoin,177 (99.1 ETH),1 own 0.4%,2 own 0.7%,8 own 5%,2 own 1.4%,1.0,93.0,3197,10,89,109.5312,1,1,RENOUNCED,21,177.0,99.1,ETH),1.0,0.4,2.0,0.7,8.0,5.0,2.0,1.4,0xAe6...03,94,True
183599,20.4,,365,2/2,0.6798679867986799,RENOUNCED (31),27165.0,16,55,2880,INDIVIDUAL,253 (360.5 ETH),1 own 0.3%,20 own 3.4%,2 own 1%,4 own 3.8%,1.0,1887.0,15423,29,75,-30.7914,2,2,RENOUNCED,31,253.0,360.5,ETH),1.0,0.3,20.0,3.4,2.0,1.0,4.0,3.8,0xBc1...d7,4,False
101314,6.2,,279,1/4,0.0,RENOUNCED (21),1442.0,5,31,3,Kucoin,226 (101.3 ETH),1 own 0.4%,2 own 0.7%,8 own 5.1%,2 own 1.4%,1.0,553.0,3349,9,100,101.4016,1,4,RENOUNCED,21,226.0,101.3,ETH),1.0,0.4,2.0,0.7,8.0,5.1,2.0,1.4,0x8B4...b2,3,True
208562,8.9,,306,1/1,0.0,RENOUNCED (21),1443.0,10,37,3,Kucoin,241 (104.4 ETH),1 own 0.4%,2 own 0.7%,8 own 4.7%,2 own 1.4%,1.0,372.0,6075,14,100,-31.2285,1,1,RENOUNCED,21,241.0,104.4,ETH),1.0,0.4,2.0,0.7,8.0,4.7,2.0,1.4,0x745...A2,2,False
5593,1.4,48,33,0/0,0.35714285714285715,RENOUNCED (26),106.0,29,17,12,INDIVIDUAL,27 (6.2 ETH),1 own 0%,0 own 0%,6 own 12.8%,0 own 0%,3.0,64.0,13744,23,72,-30.6694,0,0,RENOUNCED,26,27.0,6.2,ETH),1.0,0.0,0.0,0.0,6.0,12.8,0.0,0.0,0x9B2...25,87,False
129517,41.0,,684,0/0,0.0,RENOUNCED (33),3030.0,5767,24,17280,Binance,133 (81.0 ETH),0 own 0%,2 own 0.1%,6 own 2.7%,0 own 0%,2.0,1405.0,3670,24,95,-31.6898,0,0,RENOUNCED,33,133.0,81.0,ETH),0.0,0.0,2.0,0.1,6.0,2.7,0.0,0.0,0x905...38,19,False
55253,10.3,147,129,0/0,1.0,RENOUNCED (137),0.0,95052,95050,96480,INDIVIDUAL,514 (266.8 ETH),7 own 2.1%,0 own 0%,7 own 1.4%,3 own 1.3%,4.0,372.0,8500,21,100,-31.795,0,0,RENOUNCED,137,514.0,266.8,ETH),7.0,2.1,0.0,0.0,7.0,1.4,3.0,1.3,0xBFf...06,47,False
111372,16.0,,448,2/2,0.6798679867986799,RENOUNCED (35),27425.0,47,27,2880,INDIVIDUAL,256 (362.1 ETH),1 own 0.3%,19 own 3.1%,3 own 1%,4 own 3.8%,2.0,932.0,19795,19,90,-35.7056,2,2,RENOUNCED,35,256.0,362.1,ETH),1.0,0.3,19.0,3.1,3.0,1.0,4.0,3.8,ucanfollowme.eth,195,False
472967,13.6,,387,1/1,0.0,RENOUNCED (21),1445.0,22,48,3,Kucoin,285 (180.1 ETH),1 own 0.4%,2 own 0.7%,6 own 3.5%,3 own 2.2%,1.0,373.0,3121,12,100,103.3914,1,1,RENOUNCED,21,285.0,180.1,ETH),1.0,0.4,2.0,0.7,6.0,3.5,3.0,2.2,0x0b7...f4,3,True
16172,3.7,17,12,2/2.4,0.32786885245901637,RENOUNCED (20),5983.0,7223,7223,8640,INDIVIDUAL,104 (112.4 ETH),0 own 0%,2 own 3%,1 own 2%,1 own 1.9%,1.0,373.0,5552,37,75,129.4844,2,2.4,RENOUNCED,20,104.0,112.4,ETH),0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.9,0xd2f...E7,394,True
3723,2.0,0,0,0/0,0.5625,0xbF6...78  (4),827.0,3,0,1440,Binance,,,,,,0.0,74.0,8492,17,42,110.1653,0,0,INDIVIDUAL,4,,,,,,,,,,,,0x65D...75,12,True
12196,2.4,38,2,0/5.6,0.5674157303370787,RENOUNCED (8),2943.0,7,3,11,FixedFloat,38 (46.7 ETH),0 own 0%,6 own 9.6%,0 own 0%,0 own 0%,1.0,93.0,6421,18,100,-35.3271,0,5.6,RENOUNCED,8,38.0,46.7,ETH),0.0,0.0,6.0,9.6,0.0,0.0,0.0,0.0,0x896...FD,17,False
7826,2.9,50,1,0/0,0.5625,0xbF6...78  (4),827.0,4,1,1440,Binance,24 (58.0 ETH),0 own 0%,8 own 0.1%,0 own 0%,0 own 0%,0.0,243.0,4384,79,45,101.7384,0,0,INDIVIDUAL,4,24.0,58.0,ETH),0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0xc53...d2,29,True
6110,1.7,15,0,0/4,0.5642458100558659,0x291...97  (4),591.0,12,1,16,Binance,16 (18.3 ETH),0 own 0%,4 own 5.7%,1 own 1.2%,0 own 0%,1.0,121.0,5869,37,75,-30.4094,0,4,INDIVIDUAL,4,16.0,18.3,ETH),0.0,0.0,4.0,5.7,1.0,1.2,0.0,0.0,0xd2f...E7,395,False
41833,5.9,33,20,2/4.8,0.32786885245901637,RENOUNCED (20),5983.0,7223,7223,8640,INDIVIDUAL,111 (112.5 ETH),0 own 0%,2 own 3%,2 own 2.6%,1 own 1.9%,1.0,838.0,4712,29,99,-34.6638,2,4.8,RENOUNCED,20,111.0,112.5,ETH),0.0,0.0,2.0,3.0,2.0,2.6,1.0,1.9,0x088...1F,75,False
21238,4.8,134,29,0/99,0.625,0xbF6...78  (9),3637.0,11,8,1440,Binance,83 (110.2 ETH),0 own 0%,8 own 0.1%,0 own 0%,0 own 0%,0.0,74.0,8561,10,25,100.0089,0,99,INDIVIDUAL,9,83.0,110.2,ETH),0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0x7d1...65,12,True
121423,8.9,,24,4/9.5,0.6625,RENOUNCED (1292),1086.0,413302,413302,413280,INDIVIDUAL,223 (3631.2 ETH),7 own 125.5%,1 own 13.5%,15 own 1.8%,2 own 2.6%,209.0,746.0,20041,19,90,-31.6275,4,9.5,RENOUNCED,1292,223.0,3631.2,ETH),7.0,125.5,1.0,13.5,15.0,1.8,2.0,2.6,ucanfollowme.eth,194,False
4633,1.4,41,0,20/19.9,0.48717948717948717,0xd0D...74  (4),239.0,18,0,19,Binance,30 (12.0 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,298.0,3234,26,86,-32.5235,20,19.9,INDIVIDUAL,4,30.0,12.0,ETH),0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,0xdda...30,43,False
6866,1.7,59,0,0/2.3,0.48717948717948717,0xd0D...74  (4),239.0,18,0,19,Binance,42 (32.8 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,83.0,3128,33,56,-35.9725,0,2.3,INDIVIDUAL,4,42.0,32.8,ETH),0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,0xb9C...E2,91,False
10723,2.1,69,0,0/2.9,0.48717948717948717,0xd0D...74  (4),239.0,19,1,20,Binance,60 (44.9 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,64.0,4549,29,99,-37.2441,0,2.9,INDIVIDUAL,4,60.0,44.9,ETH),0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,0x088...1F,75,False
17088,2.7,90,0,0/3.7,0.48717948717948717,0xd0D...74  (4),239.0,19,1,20,Binance,86 (123.2 ETH),0 own 0%,24 own 11.2%,0 own 0%,1 own 0.6%,1.0,102.0,11610,29,80,-32.814,0,3.7,INDIVIDUAL,4,86.0,123.2,ETH),0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,0xb73...EC,243,False
613459,13.5,,187,3/3,0.7857142857142857,RENOUNCED (18),0.0,7202,7202,7200,Kucoin,138 (87.1 ETH),0 own 0%,1 own 0.4%,7 own 27.7%,0 own 0%,3.0,1882.0,4093,15,88,102.1275,3,3,RENOUNCED,18,138.0,87.1,ETH),0.0,0.0,1.0,0.4,7.0,27.7,0.0,0.0,0xAb1...Ff,17,True
914554,19.8,,648,1/1,0.0,RENOUNCED (21),1445.0,56,24,3,Kucoin,437 (110.4 ETH),1 own 0.4%,2 own 0.7%,6 own 3.1%,2 own 1.4%,1.0,933.0,7052,24,96,107.4807,1,1,RENOUNCED,21,437.0,110.4,ETH),1.0,0.4,2.0,0.7,6.0,3.1,2.0,1.4,0x55b...6C,23,True
307328,9.7,,246,3/3,0.7857142857142857,RENOUNCED (18),0.0,7204,7204,7200,Kucoin,165 (91.2 ETH),0 own 0%,1 own 0.4%,8 own 38.3%,0 own 0%,3.0,1866.0,5617,19,100,-35.5255,3,3,RENOUNCED,18,165.0,91.2,ETH),0.0,0.0,1.0,0.4,8.0,38.3,0.0,0.0,0x792...12,5,False
25432,3.3,106,0,0/3.3,0.48717948717948717,0xd0D...74  (4),239.0,20,1,21,Binance,91 (115.4 ETH),0 own 0%,24 own 11.2%,0 own 0%,1 own 0.6%,1.0,37.0,6634,14,90,-30.9441,0,3.3,INDIVIDUAL,4,91.0,115.4,ETH),0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,0xc77...e6,31,False
74824,13.2,762,511,2/2,0.6798679867986799,RENOUNCED (36),20604.0,54,34,2880,INDIVIDUAL,218 (304.6 ETH),1 own 0.3%,19 own 3.1%,2 own 1%,3 own 2.6%,2.0,169.0,18472,8,100,-30.9142,2,2,RENOUNCED,36,218.0,304.6,ETH),1.0,0.3,19.0,3.1,2.0,1.0,3.0,2.6,0x5eB...64,9,False
39662,4.2,208,78,0/4.7,0.48717948717948717,0xd0D...74  (6),4195.0,30,11,31,Binance,172 (117.4 ETH),0 own 0%,14 own 6.5%,1 own 0.1%,1 own 0.6%,1.0,149.0,6156,42,93,-30.2512,0,4.7,INDIVIDUAL,6,172.0,117.4,ETH),0.0,0.0,14.0,6.5,1.0,0.1,1.0,0.6,halfshibainu.eth,14,False
44024,11.6,14,3,0/0,0.65,RENOUNCED (113),13.0,537138,537138,537120,Binance,169 (440.7 ETH),0 own 0%,0 own 0%,6 own 3.7%,3 own 2.7%,1.0,373.0,5694,37,75,-30.8732,0,0,RENOUNCED,113,169.0,440.7,ETH),0.0,0.0,0.0,0.0,6.0,3.7,3.0,2.7,0xd2f...E7,393,False
61091,5.2,257,114,0/3.8,0.48717948717948717,RENOUNCED (8),9078.0,33,14,34,Binance,192 (233.4 ETH),0 own 0%,14 own 6.3%,1 own 0.1%,3 own 2.6%,1.0,0.0,5548,39,100,-34.1889,0,3.8,RENOUNCED,8,192.0,233.4,ETH),0.0,0.0,14.0,6.3,1.0,0.1,3.0,2.6,0xC7d...2c,37,False
90619,6.3,283,134,0/0,0.48717948717948717,RENOUNCED (9),9110.0,34,16,35,Binance,204 (247.8 ETH),0 own 0%,14 own 6.3%,2 own 0.9%,3 own 2.6%,1.0,373.0,6465,33,85,-30.6381,0,0,RENOUNCED,9,204.0,247.8,ETH),0.0,0.0,14.0,6.3,2.0,0.9,3.0,2.6,chewyalexander.eth,13,False
228449,14.1,,64,1/2,0.0,0xECF...02  (8),750.0,56,56,4,Kraken,103 (75.4 ETH),0 own 0%,19 own 23.2%,19 own 23.2%,0 own 0%,2.0,933.0,28853,14,90,-35.6791,1,2,INDIVIDUAL,8,103.0,75.4,ETH),0.0,0.0,19.0,23.2,19.0,23.2,0.0,0.0,0x302...41,21,False
