pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
18 mins,"$3,626 | 2X",4 out of 6,29 mins ago,0xbD1...7C  (11),Kucoin,Below 10K 🟩🟩🟩,0xf8ab4960a1cc365ea1505ac1118dbd4f8fcbb85d,17:18:50:430,2.0 Buy! 🐋🐋🐋,45 (204.0 ETH),5/4.8,🪙 #2.0,🟢 38%,0 own 0%,2.1,Unknown Lock,8020,,24 mins,(9) 8 - $612.5,,101.2125,,2 own 9.1%,,17:13:43,$858,1 own 0.3%,(51) 50 - $2.4k,0 own 0%,,🟢 (false) - 42/42,84% out of 127,"0x07b...43 ($10,568)",,$91
0 mins,,36 out of 39,453 days ago,0xD9E...65  (103),Coinbase,Below 10K 🟩🟩🟩,0x5ec56cd6ac92482867e54538ea7e2e8807e6f7bd,17:21:49:216,FATE 2.0 Buy! 🐋🐋,14 (14.4 ETH),15/29.5,🪙 #FATE 2.0,🟢 38%,0 own 0%,1.5,Unknown Lock,4275,(5) FATE,13 mins,(0) 0 - $0,,120.6234,"$3,437,876",0 own 0%,,17:21:02,$291,10 own 14.4%,(13) 13 - $532.8,0 own 0%,2% | 0.05 eth,🟢 (false) - 13/13,74% out of 393,"0xd2f...E7 ($7,296)",,$91
2 hrs 47 mins,"$64,064 | 0X",193 out of 357,8 days ago,RENOUNCED (44),Binance,Below 50K 🟩🟨🟥,0xa588fd290f1c7fcffad2c2c2e71a2928e8ffd6f2,17:23:13:849,BUDDHA Buy! 🐋🐋🐋,65 (15.9 ETH),0/0,🪙 #BUDDHA,🟢🟢 41%,0 own 0%,5.8,100% | 92 days | Pinksale,24698,,8 days 9 hrs,(116) 77 - $98k,27,104.2341,,0 own 0%,,16:47:21,$30,0 own 0%,(178) 123 - $101.2k,11 own 20.4%,,🟢 (false) - 30/30,91% out of 34,"0xF7F...d1 ($11,407)",,$364
24 mins,"$31,260 | 2X",1.2k out of 2k,39 mins ago,RENOUNCED (9),FixedFloat,Below 100K 🟥🟥🟥,0x2698931002b10a2206c3f8b36c8c168b01ea6c25,17:23:39:278,PEPE 4.20 Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,208 (40.4 ETH),0/3.2,🪙 #PEPE4.20,🟢 18%,0 own 0%,6.1,98% | 29 days | Unicrypt,62843,,37 mins,(156) 72 - $33.1k,2,109.4269,,0 own 0%,,17:09:18,"$14,016",4 own 4.7%,(272) 257 - $42k,2 own 1.2%,,🟢 (false) - 182/183,100% out of 7,"0xfaf...d8 ($68,848)",,$182
32 mins,,208 out of 466,1 hrs ago,RENOUNCED (10),Kucoin,Below 50K 🟩🟨🟥,0x1eb137223039d4a3ea00bf2e9e7d053014f59015,17:30:13:479,BEN 2.0 Buy! 🐋🐋,24 (12.5 ETH),0/3,🪙 #BEN2.0,🟢 12%,0 own 0%,2.2,98% | 29 days | Unicrypt,11286,,35 mins,(4) 4 - $344.5,1,-36.7594,,0 own 0%,,17:28:49,$773,5 own 7.6%,(28) 27 - $2.4k,0 own 0%,,🟢 (false) - 23/23,88% out of 26,"0x302...41 ($8,370)",,$182
43 mins,"$31,260 | 4X",1.2k out of 2k,58 mins ago,RENOUNCED (10),FixedFloat,,0x2698931002b10a2206c3f8b36c8c168b01ea6c25,17:42:01:183,PEPE 4.20 Buy! 🐋,251 (63.4 ETH),0/0,,🟢 10%,0 own 0%,9.5,98% | 29 days | Unicrypt,149286,,56 mins,(239) 127 - $66.8k,2,-32.2338,,0 own 0%,,17:28:19,"$13,101",4 own 3.9%,,2 own 1.2%,,🟢 (false) - 202/203,90% out of 97,"0xAe6...03 ($3,040)",🪙 #PEPE4.20,$91
14 hrs 2 mins,"$5,037 | 20X",0 out of 0 Unique,1 days ago,RENOUNCED (15),Mexc,,0x17a980a2843119aaea2c84e623339369542eee53,17:43:37:028,MoonGirl Buy! 🐋🐋,183 (29.9 ETH),6/5.7,,🟢 14%,0 own 0%,7.8,99% | BURNT,100799,,14 hrs 17 mins,(793) 330 - $93.4k,1,101.7324,,0 own 0%,,17:16:31,$27,2 own 0.6%,,3 own 0.9%,,🟢 (false) - 149/149,100% out of 20,"0x047...cC ($5,802)",🪙 #GMOON,$528
18 hrs 7 mins,"$9,653 | 2X",1.2k out of 1.4k,18 hrs ago,UNKNOWN (5),Binance,Below 50K 🟩🟨🟥,0x5c254dfb4967cd66b09e84fcd04e2d77694c7bce,17:43:50:630,Milady 2.0 Buy! 🐋,102 (247.3 ETH),0/0,🪙 #LADYS2.0,🟢 34%,1 own 0.8%,5.8,100% | BURNT,28393,,18 hrs 8 mins,(342) 237 - $251.5k,,114.3836,,3 own 5.9%,,16:46:51,$0,1 own 2%,(479) 329 - $258.5k,2 own 1.9%,,🟢 (false) - 91/91,90% out of 31,"loyalwhale.eth ($3,667)",,$182
19 mins,"$14,038 | 3X",106 out of 202,504 days ago,RENOUNCED (39),Binance,Below 100K 🟥🟥🟥,0x2b088bdd1c772699618bc004d7108a2511f8381e,17:44:38:417,Jimmy Buy! 🐋,97 (85.3 ETH),1/1,🪙 #JIMMY,🟢 16%,0 own 0%,5.4,99% | 63 days | Unicrypt,52546,(1) Baby Chedda,22 mins,(55) 30 - $19.8k,,101.3150,"$1,053,314",0 own 0%,,17:17:01,"$2,751",25 own 30.3%,(155) 121 - $27.9k,0 own 0%,,🟢 (false) - 76/76,97% out of 77,"0x61d...D4 ($3,716)",,$91
1 hrs 6 mins,"$31,260 | 4X",1.2k out of 2k,1 hrs ago,RENOUNCED (12),FixedFloat,,0x2698931002b10a2206c3f8b36c8c168b01ea6c25,17:55:29:001,PEPE 4.20 Buy! 🐋,290 (47.5 ETH),0/0,,🟢 10%,1 own 0.3%,8.9,98% | 29 days | Unicrypt,128297,,1 hrs 19 mins,(363) 195 - $124.7k,3,-30.0662,,0 own 0%,,17:51:43,"$13,103",3 own 3.1%,,7 own 5%,,🟢 (false) - 230/231,90% out of 98,"0xAe6...03 ($3,040)",🪙 #PEPE4.20,$109
16 hrs 56 mins,"$8,709 | 24X",1 out of 1,17 hrs ago,RENOUNCED (19),Binance,,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,17:55:29:015,Pepe 3.0 Buy! 🐋🐋🐋🐋,388 (100.4 ETH),1/1.3,,🟢 37%,9 own 9%,11,98% | 365 days | Unicrypt,217143,(1) (https,17 hrs 7 mins,(924) 409 - $340.5k,4,102.7578,$0,1 own 1.9%,,16:48:09,$264,0 own 0%,,9 own 7.6%,3% | 5.33 eth,🟢 (false) - 328/328,100% out of 3,"0x0C9...73 ($15,442)",🪙 #PEPE3.0,"$2,186"
45 mins,"$52,002 | 0X",0 out of 0 Unique,12 hrs ago,0xAf9...7e  (7),Binance,Below 50K 🟩🟨🟥,0xe479283da77e0bc701e29b513dee4c2be1d39336,17:56:02:462,Black Rock Buy! 🐋,122 (43.2 ETH),0/15.9,🪙 $ROCK,🟢 28%,0 own 0%,8.6,100% | 365 days | Pinksale,43710,,55 mins,(88) 38 - $38.8k,,-30.1750,,0 own 0%,,17:47:18,$724,0 own 0%,(199) 156 - $48.9k,2 own 0.7%,,🟢 (false) - 118/118,100% out of 13,"0x19B...F4 ($4,481)",,$91
0 mins,,1.1k out of 1.4k,55 mins ago,0xA9a...05  (4),Kucoin,Below 10K 🟩🟩🟩,0x315b1f57d83891dbd910450643236571f7ba3f69,18:00:49:276,Dejitaru Tsuka 2.0 Buy! 🐋🐋🐋🐋,10 (12.4 ETH),25/47.4,🪙 #Tsuka2.0,🟢🟢 56%,2 own 3%,1.3,Unknown Lock,2991,,13 mins,(0) 0 - $0,,-33.6430,,0 own 0%,,18:00:15,$705,9 own 12.7%,(9) 8 - $383.8,2 own 3%,2% | 0.03 eth,🟢 (false) - 7/7,59% out of 101,"0x030...9E ($19,423)",,$109
1 mins,,93 out of 130,1 days ago,0x675...11  (4),0x448...56,Below 10K 🟩🟩🟩,0x6d522ada011e2681199f6734c00d89d4827a8c59,18:01:13:240,DONG Buy! 🐋🐋🐋🐋,25 (72.4 ETH),0/0,🪙 #DONG,🟢🟢 56%,0 own 0%,1.8,Unknown Lock,6863,,15 mins,(0) 0 - $0,,-68.2371,,1 own 1.9%,,18:00:52,"$3,510",8 own 13.6%,(22) 19 - $1.4k,1 own 1%,2% | 0.07 eth,🟢 (false) - 22/22,60% out of 102,"0x030...9E ($19,334)",,$109
5 hrs 56 mins,"$5,553 | 35X",1.2k out of 1.4k,3 days ago,UNKNOWN (8),FixedFloat,,0xa8643451ae0401b645443682055be70dc05b6950,18:02:03:231,FTX 2.0 Buy! 🐋,282 (402.2 ETH),0/0,,🟢 7%,1 own 0.7%,19.8,100% | BURNT,199367,,5 hrs 57 mins,(869) 513 - $1.3M,,-30.1316,,3 own 4.2%,,17:11:30,$207,0 own 0%,,4 own 2.4%,,🟢 (false) - 234/234,100% out of 60,"0xb46...82 ($4,142)",🪙 #FTX2.0,$546
3 mins,"$6,863 | 3X",93 out of 130,1 days ago,0x675...11  (4),0x448...56,Below 50K 🟩🟨🟥,0x6d522ada011e2681199f6734c00d89d4827a8c59,18:03:37:167,DONG Buy! 🐋🐋🐋,68 (112.9 ETH),0/0,🪙 #DONG,🟢🟢 45%,0 own 0%,3.6,Unknown Lock,26116,,17 mins,(19) 15 - $23.3k,,-38.3206,,0 own 0%,,18:03:01,"$3,512",6 own 9.7%,(108) 79 - $28.1k,4 own 2.9%,2% | 0.31 eth,🟢 (false) - 63/63,93% out of 44,"0x62D...df ($10,898)",,$182
1 mins,,50 out of 73,2 hrs ago,0x9DF...9a  (7),Binance,Below 10K 🟩🟩🟩,0xdcad2177e7f356413d80f481ef2ee20409c2879f,18:06:49:158,Planet 2.0 Buy! 🐋🐋🐋🐋,44 (62.0 ETH),30/42.3,🪙 #PLANET 2.0,🟢🟢 56%,0 own 0%,1.9,Unknown Lock,7324,,2 hrs 12 mins,(0) 0 - $0,,-52.0039,,1 own 0.6%,,18:06:40,$613,27 own 15.4%,(47) 47 - $1.6k,0 own 0%,1% | 0.04 eth,🟢 (false) -,59% out of 103,"0x030...9E ($19,213)",,$109
1 mins,,94 out of 307,1 days ago,0x01b...Be  (5),Binance,Below 50K 🟩🟨🟥,0xf47f7a8764183c26889e8d0c3a3c6288cb1822d2,18:07:26:778,Pepe Zero Buy! 🐋🐋,25 (34.5 ETH),0/5.2,🪙 #PEPE0,🟢 37%,0 own 0%,2.3,Unknown Lock,13598,,8 mins,(3) 1 - $384.2,1,-35.2983,,1 own 0%,,18:05:58,$768,12 own 21.4%,(28) 27 - $2.8k,0 own 0%,2.5% | 0.17 eth,🟢 (false) - 23/23,100% out of 8,"0xdC4...d6 ($6,298)",,$91
3 mins,"$4,275 | 3X",36 out of 39,453 days ago,0xD9E...65  (103),Coinbase,Below 50K 🟩🟨🟥,0x5ec56cd6ac92482867e54538ea7e2e8807e6f7bd,18:09:13:360,FATE 2.0 Buy! 🐋,51 (135.3 ETH),15/29.3,🪙 #FATE 2.0,🟢 34%,0 own 0%,2.7,Unknown Lock,13124,(5) FATE,17 mins,(3) 2 - $1.7k,,105.8742,"$3,437,876",2 own 1.2%,,17:24:23,$291,10 own 14.4%,(58) 54 - $4.8k,1 own 0.9%,2% | 0.14 eth,🟢 (false) - 48/48,50% out of 6,"0x4E0...F5 ($3,083)",,$306
5 mins,"$6,863 | 8X",93 out of 130,1 days ago,0x675...11  (5),0x448...56,Below 100K 🟥🟥🟥,0x6d522ada011e2681199f6734c00d89d4827a8c59,18:10:01:331,DONG Buy! 🐋,80 (331.6 ETH),0/0,🪙 #DONG,🟢 16%,0 own 0%,5.5,Unknown Lock,58738,,19 mins,(33) 25 - $29.5k,,112.2311,,2 own 2.7%,,18:05:19,"$3,510",3 own 3.8%,(141) 98 - $37.5k,2 own 2.4%,2% | 0.73 eth,🟢 (false) - 75/75,67% out of 9,"0x198...5b ($3,150)",,$109
