pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
22 mins,,0 out of 0 Unique,52 mins ago,0xc94...39  (14),Binance,Below 10K 🟩🟩🟩,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,00:30:14:369,Pepe 3.0 Buy! 🐋,37 (21.9 ETH),0.7/1.9,🪙 #PEPE3.0,🟢 21%,8 own 8.8%,2.1,99% | -364 days | Unicrypt,8709,(1) (https,33 mins,(6) 3 - $256.5,2,113.8542,$0,0 own 0%,,00:13:57,$471,6 own 5.9%,(54) 33 - $2.2k,5 own 6.8%,3% | 0.15 eth,🟢 (false) - 34/34,47% out of 43,"0xc2B...D1 ($3,195)",,$92
4 mins,,20 out of 71,26 mins ago,RENOUNCED (9),Mexc,Below 50K 🟩🟨🟥,0xa64afba647916036aeed27b870230cbc75d80ddc,00:32:03:827,Apes2.0 Buy! 🐋,53 (25.7 ETH),0/8,🪙 #APES2.0,🟢 31%,0 own 0%,2.4,98% | 30 days | Unicrypt,13391,,18 mins,(26) 13 - $3.9k,1,-38.9076,,0 own 0%,,00:31:30,"$2,824",22 own 23.9%,(67) 66 - $6.4k,0 own 0%,,🟢 (false) - 48/48,97% out of 128,"0x486...36 ($3,441)",,$371
4 mins,"$6,819 | 2X",0 out of 0 Unique,5 hrs ago,0xdCb...Bf  (6),Mexc,Below 50K 🟩🟨🟥,0x0be49fe791a5e6e034924131041e6b37d3e06919,00:32:26:136,L 2.0 Buy! 🐋🐋,23 (64.5 ETH),10/32.7,🪙 #L2.0,🟢 1%,0 own 0%,4.8,Unknown Lock,18598,,9 mins,(3) 2 - $657.3,,172.5353,,1 own 0.8%,,00:28:54,"$3,092",9 own 29.7%,(46) 23 - $5k,0 own 0%,,🟢 (false) - 21/21,33% out of 12,"0xddb...75 ($8,164)",,$557
1 hrs 2 mins,"$17,336 | 4X",20 out of 70,1 hrs ago,RENOUNCED (10),Mexc,Below 100K 🟥🟥🟥,0x1b8e37fc72b95a653550f9892e6b395ef57dfa1d,00:34:37:402,Shiba 2.0 Buy! 🐋🐋,173 (114.1 ETH),0/0,🪙 #SHIBA2.0,🟢 22%,1 own 0.7%,5.8,98% | 30 days | Unicrypt,73852,,1 hrs 21 mins,(313) 178 - $102k,1,-39.1403,,1 own 0.7%,,00:02:42,"$5,857",2 own 0.4%,(460) 333 - $110.9k,2 own 0.8%,,🟢 (false) - 147/147,100% out of 16,"0xba9...e4 ($7,325)",,$662
21 mins,"$11,248 | 0X",18 out of 37,1 hrs ago,0x5D9...75  (8),Binance,Below 50K 🟩🟨🟥,0xd1e4c1c81733c7eff694f32109f07c9190e865dd,00:35:01:194,MONG 2.0 Buy! 🐋,51 (22.5 ETH),25/24.4,🪙 #MONG 2.0,🟢 17%,0 own 0%,2.3,98% | 30 days | Unicrypt,10211,,30 mins,(13) 5 - $3.4k,,-32.4388,,0 own 0%,,00:33:12,"$3,375",7 own 10.8%,(65) 49 - $6k,1 own 1.1%,,🟢 (false) - 44/44,100% out of 5,"0x057...Ed ($4,202)",,$37
1 hrs 34 mins,"$17,336 | 6X",20 out of 71,1 hrs ago,RENOUNCED (11),Mexc,,0x1b8e37fc72b95a653550f9892e6b395ef57dfa1d,00:36:26:135,Shiba 2.0 Buy! 🐋,208 (130.9 ETH),0/0,,🟢 38%,1 own 0.7%,7.5,98% | 30 days | Unicrypt,121340,,1 hrs 53 mins,(404) 212 - $160.6k,1,-30.0967,,1 own 0.7%,,00:34:48,"$6,390",3 own 0.6%,,3 own 0.8%,,🟢 (false) - 168/168,91% out of 33,"0xF7F...d1 ($4,604)",🪙 #SHIBA2.0,$557
35 mins,"$32,318 | 0X",20 out of 71,46 days ago,RENOUNCED (26),Binance,Below 50K 🟩🟨🟥,0x3a7d825f932612b512232798103c9dcaf6c84205,00:40:14:345,Bill Cipher Buy! 🐋🐋,130 (51.1 ETH),0/0,🪙 #BILL,🟢 13%,0 own 0%,3.4,99% | 92 days | Unicrypt,28133,(1) BearBrick,56 mins,(122) 58 - $24.5k,1,100.6896,"$547,090",0 own 0%,,00:32:36,"$9,322",32 own 27.4%,(219) 176 - $29.1k,7 own 3.4%,,🟢 (false) - 118/118,97% out of 72,"0x77a...54 ($6,342)",,$371
1 hrs 37 mins,"$17,336 | 8X",20 out of 71,1 hrs ago,RENOUNCED (11),Mexc,,0x1b8e37fc72b95a653550f9892e6b395ef57dfa1d,00:45:13:045,Shiba 2.0 Buy! 🐋,217 (144.0 ETH),0/0,,🟢 9%,1 own 0.7%,8.1,98% | 30 days | Unicrypt,138850,,1 hrs 56 mins,(423) 220 - $176k,1,-33.7514,,1 own 0.7%,,00:37:54,"$6,394",3 own 0.6%,,3 own 0.8%,,🟢 (false) - 170/170,100% out of 12,"tinoz.eth ($3,719)",🪙 #SHIBA2.0,$278
2 hrs 11 mins,"$4,633 | 6X",96 out of 198,2 hrs ago,RENOUNCED (11),Binance,Below 50K 🟩🟨🟥,0x8734cc1b67138ef994561a4e2cf2d5e50c588e75,00:52:25:859,BOB 2.0 Buy! 🐋🐋,263 (267.7 ETH),0/0,🪙 #BOB2.0,🟢 18%,1 own 0.4%,3.9,98% | 64 days | Unicrypt,29051,,2 hrs 29 mins,(940) 553 - $542.5k,1,111.5789,,2 own 2.8%,,00:22:30,$0,0 own 0%,(1234) 801 - $547.9k,3 own 0.4%,,🟢 (false) - 244/244,93% out of 29,"0xf18...12 ($5,731)",,$111
2 hrs 42 mins,"$4,633 | 2X",96 out of 198,3 hrs ago,RENOUNCED (11),Binance,Below 50K 🟩🟨🟥,0x8734cc1b67138ef994561a4e2cf2d5e50c588e75,00:54:25:873,BOB 2.0 Buy! 🐋,257 (353.7 ETH),0/0,🪙 #BOB2.0,🟢 27%,1 own 0.4%,2.7,98% | 64 days | Unicrypt,13772,,3 hrs 0 mins,(965) 568 - $549.8k,1,-32.9829,,3 own 3.2%,,00:53:46,$0,0 own 0%,(1259) 808 - $552.9k,3 own 0.4%,,🟢 (false) - 237/237,78% out of 18,"0xa09...79 ($4,637)",,$464
49 mins,,20 out of 71,46 days ago,RENOUNCED (28),Binance,Below 100K 🟥🟥🟥,0x3a7d825f932612b512232798103c9dcaf6c84205,00:57:00:989,Bill Cipher Buy! 🐋🐋🐋🐋🐋,154 (89.3 ETH),0/0,🪙 #BILL,🟢 17%,0 own 0%,5.4,99% | 92 days | Unicrypt,69833,(1) BearBrick,1 hrs 10 mins,(155) 81 - $32k,1,-31.4284,"$547,090",0 own 0%,,00:50:27,"$8,862",24 own 18.4%,(271) 217 - $39.3k,7 own 2.9%,,🟢 (false) - 135/135,94% out of 16,"0xb7D...13 ($20,881)",,$92
3 hrs 57 mins,"$11,462 | 12X",0 out of 0 Unique,5 hrs ago,0xECF...02  (9),Kraken,,0xbf2a7863e2ca59291606f47756bba16f43e9d8ac,01:05:13:645,Furnace Buy! 🐋🐋,106 (103.4 ETH),1/2,,🟢 11%,0 own 0%,11.3,98% | 182 days | Unicrypt,143720,,3 hrs 57 mins,(101) 60 - $59.4k,2,-30.2749,,0 own 0%,SUS Contract,23:23:22,$743,19 own 22.2%,,18 own 22.1%,2% | 1.81 eth,🟢 (false) - 96/96,100% out of 46,"0x5C6...ed ($5,685)",🪙 $BURN,$468
1 hrs 6 mins,"$28,133 | 3X",20 out of 71,46 days ago,RENOUNCED (28),Binance,Below 100K 🟥🟥🟥,0x3a7d825f932612b512232798103c9dcaf6c84205,01:11:25:894,Bill Cipher Buy! 🐋🐋,179 (73.6 ETH),0/0,🪙 #BILL,🟢 23%,0 own 0%,6.1,99% | 91 days | Unicrypt,85810,(1) BearBrick,1 hrs 28 mins,(230) 129 - $82.4k,1,-31.1065,"$547,090",0 own 0%,,01:04:02,"$8,864",14 own 12.7%,(367) 283 - $91.8k,4 own 1.1%,,🟢 (false) - 148/148,90% out of 21,"0x7E5...df ($5,831)",,$372
18 mins,,1 out of 3,1 hrs ago,RENOUNCED (9),Coinbase,Below 50K 🟩🟨🟥,0xd5aa07802601bf7158e60d6a6cb309980732cedd,01:14:49:172,Pepe 3.0 Buy! 🐋,96 (56.9 ETH),1/1,🪙 #PEPE3.0,🟢 30%,0 own 0%,2.2,99% | BURNT,17725,,50 mins,(49) 36 - $7.5k,,114.2068,,0 own 0%,,01:08:06,$154,6 own 11.6%,(126) 118 - $10.7k,4 own 3.8%,2% | 0.21 eth,🟢 (false) - 68/69,100% out of 8,"0xF84...3C ($4,079)",,$372
1 hrs 45 mins,"$17,336 | 12X",20 out of 71,2 hrs ago,RENOUNCED (11),Mexc,,0x1b8e37fc72b95a653550f9892e6b395ef57dfa1d,01:15:02:409,Shiba 2.0 Buy! 🐋🐋,249 (143.1 ETH),0/0,,🟢 22%,1 own 0.7%,10,98% | 30 days | Unicrypt,213212,,2 hrs 4 mins,(453) 232 - $190.6k,1,109.5703,,1 own 0.7%,,00:45:54,"$6,395",4 own 0.7%,,4 own 0.9%,,🟢 (false) - 190/190,100% out of 17,"0xba9...e4 ($7,399)",🪙 #SHIBA2.0,"$1,204"
1 hrs 53 mins,"$7,615 | 2X",0 out of 1,20 hrs ago,RENOUNCED (14),Binance,Below 50K 🟩🟨🟥,0xf016f07c9b0787a18c81dc562f32ffe70003ca3b,01:20:36:899,Doge 2.0 Buy! 🐋,112 (40.8 ETH),0/0,🪙 #DOGE2.0,🟢 29%,0 own 0%,3,98% | 28 days | Unicrypt,20194,,2 hrs 0 mins,(266) 191 - $47.5k,3,-32.1650,,0 own 0%,,01:18:59,"$3,683",4 own 4.2%,(394) 297 - $51.1k,3 own 2%,,🟢 (false) - 104/105,100% out of 58,"0x85E...65 ($3,622)",,$186
1 hrs 24 mins,"$8,709 | 1X",0 out of 0 Unique,1 hrs ago,RENOUNCED (16),Binance,Below 50K 🟩🟨🟥,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,01:27:36:692,Pepe 3.0 Buy! 🐋,51 (22.1 ETH),0.7/2.2,🪙 #PEPE3.0,🟢 21%,8 own 8.8%,2.8,98% | 366 days | Unicrypt,15602,(1) (https,1 hrs 35 mins,(41) 18 - $5.1k,2,108.8989,$0,0 own 0%,,01:16:22,$469,6 own 7.7%,(88) 61 - $8.4k,8 own 11.7%,3% | 0.28 eth,🟢 (false) - 47/47,48% out of 44,"0xc2B...D1 ($3,222)",,$279
1 hrs 55 mins,"$7,615 | 4X",0 out of 1,20 hrs ago,RENOUNCED (14),Binance,Below 50K 🟩🟨🟥,0xf016f07c9b0787a18c81dc562f32ffe70003ca3b,01:31:14:003,Doge 2.0 Buy! 🐋🐋,119 (42.1 ETH),0/0,🪙 #DOGE2.0,🟢 15%,0 own 0%,3.8,98% | 28 days | Unicrypt,31812,,2 hrs 2 mins,(269) 193 - $48.2k,3,-30.0284,,0 own 0%,,01:21:02,"$3,683",4 own 4.2%,(407) 302 - $53.2k,2 own 1.7%,,🟢 (false) - 107/108,100% out of 31,"0x0bA...70 ($7,701)",,$186
2 hrs 15 mins,"$17,336 | 4X",20 out of 71,2 hrs ago,RENOUNCED (11),Mexc,Below 100K 🟥🟥🟥,0x1b8e37fc72b95a653550f9892e6b395ef57dfa1d,01:46:25:506,Shiba 2.0 Buy! 🐋🐋,253 (138.7 ETH),0/0,🪙 #SHIBA2.0,🟢 18%,1 own 0.7%,5.9,98% | 29 days | Unicrypt,72608,,2 hrs 33 mins,(625) 307 - $279.4k,1,119.5042,,1 own 0.7%,,01:15:31,"$6,397",2 own 0.1%,(850) 509 - $290.1k,4 own 0.8%,,🟢 (false) - 193/194,94% out of 31,"0xf18...12 ($5,505)",,$93
1 hrs 23 mins,,96 out of 199,3 days ago,RENOUNCED (11),FixedFloat,Below 10K 🟩🟩🟩,0xa081feb1be9cf91533d65a09ce3b5ed3c27f317e,01:52:26:221,Safemoon 2.0 Buy! 🐋🐋🐋🐋🐋,36 (3.7 ETH),0/0,🪙 #Safemoon 2.0,🟢🟢 57%,0 own 0%,0.7,98% | 182 days | Unicrypt,2386,,1 hrs 27 mins,(85) 41 - $7.5k,2,-37.2680,,0 own 0%,,01:49:28,"$2,248",0 own 0%,(106) 74 - $7.9k,0 own 0%,,🟢 (false) - 33/33,100% out of 10,"0x821...27 ($20,601)",,$186
17 days 8 hrs,"$66,202 | 11X",302 out of 408,20 days ago,RENOUNCED (42),0x3A7...5b,,0x409b46013c78c63cf376f17466aef87895617451,01:53:02:824,A Graceful Omen Buy! 🐋,363 (149.2 ETH),0/0,,🟢 2%,2 own 0.3%,59.7,100% | BURNT,750077,,20 days 7 hrs,(103) 75 - $76.1k,1,104.5165,,2 own 1.3%,,19:42:36,"$23,730",0 own 0%,,23 own 5.7%,,🟢 (false) - 506/508,100% out of 8,"0xD51...B2 ($3,281)",🪙 #ERUTA,$981
5 days 5 hrs,"$137,054 | 4X",0 out of 0 Unique,7 days ago,RENOUNCED (24),0xF38...0D,,0x7c03c1d1c5b4ba1ac76551e27922e1dcaad57fd8,01:54:48:789,Token Buy! 🐋,591 (448.9 ETH),0/0,,🟢 13%,1 own 0.3%,36.5,91% | BURNT,602389,,6 days 15 hrs,(462) 273 - $358.6k,,-39.0927,,8 own 4.9%,,22:44:30,"$1,190",0 own 0%,,10 own 2.2%,,🟢 (false) - 741/743,89% out of 9,"0xFf4...59 ($4,205)",🪙 #TOKEN,"$1,401"
1 mins,,0 out of 0 Unique,4 hrs ago,0x1B4...42  (4),Binance,Below 10K 🟩🟩🟩,0x1212d3fc32d7c274581b5c4b06cf6a4fcce58751,01:57:25:455,PLANET 2.0 Buy! 🐋🐋🐋,12 (1.7 ETH),0/5.2,🪙 #PLANET2.0,🟢🟢 41%,0 own 0%,1.4,Unknown Lock,4951,,13 mins,(0) 0 - $0,1,101.7004,,0 own 0%,,01:55:56,$346,5 own 7%,(11) 11 - $659.7,1 own 1.6%,2% | 0.06 eth,🟢 (false) - 11/11,59% out of 80,"0x030...9E ($11,589)",,$111
0 mins,,96 out of 200,46 mins ago,0xfd7...22  (5),Kucoin,Below 10K 🟩🟩🟩,0x352a3ef1ab122e6e8cbcfe565c3dd683d4857299,02:01:25:833,Milady 2.0 Buy! 🐋,25 (11.5 ETH),0/22.5,🪙 #Milady2.0,🟢 24%,0 own 0%,2,Unknown Lock,9378,,31 mins,(0) 0 - $0,1,-33.9864,,0 own 0%,,01:59:01,$916,24 own 34.2%,(24) 24 - $1.9k,1 own 0.7%,2% | 0.11 eth,🟢 (false) -,96% out of 79,"0xC1D...28 ($4,303)",,$93
282 days 1 hrs,,1.1k out of 1.4k,282 days ago,RENOUNCED (14),Binance,Below 50K 🟩🟨🟥,0xa56b5c6162c7311d86d5abc66e4b29a283392117,02:02:48:777,Proof Of Inu Buy! 🐋🐋🐋🐋,170 (248.4 ETH),4/6.6,🪙 #SHIB2.0,🟢 20%,1 own 0%,4.4,Unknown Lock,14422,,282 days 1 hrs,(2) 1 - $71,1,-32.0892,,3 own 1.1%,,22:17:03,"$1,292",0 own 0%,(6) 6 - $1.6k,4 own 4.7%,,🟢 (false) - 6/6,92% out of 52,"0xDF5...12 ($16,635)",,$559
3 hrs 33 mins,"$4,633 | 3X",96 out of 198,3 hrs ago,RENOUNCED (11),Binance,Below 50K 🟩🟨🟥,0x8734cc1b67138ef994561a4e2cf2d5e50c588e75,02:09:01:249,BOB 2.0 Buy! 🐋,251 (356.1 ETH),0/0,🪙 #BOB2.0,🟢 17%,1 own 0.4%,2.7,98% | 63 days | Unicrypt,14325,,3 hrs 51 mins,(1000) 584 - $555.5k,1,-33.1821,,3 own 3.2%,,01:44:25,$0,0 own 0%,(1295) 821 - $558.7k,4 own 0.7%,,🟢 (false) - 236/236,94% out of 32,"0xf18...12 ($4,610)",,$93
1 hrs 37 mins,"$10,211 | 4X",18 out of 37,2 hrs ago,RENOUNCED (15),Binance,Below 50K 🟩🟨🟥,0xd1e4c1c81733c7eff694f32109f07c9190e865dd,02:10:13:175,MONG 2.0 Buy! 🐋🐋,89 (17.0 ETH),1/1,🪙 #MONG 2.0,🟢 7%,0 own 0%,4.7,98% | 30 days | Unicrypt,41915,,1 hrs 46 mins,(50) 36 - $19.3k,,100.9838,,0 own 0%,,01:48:40,"$1,180",5 own 8.9%,(145) 108 - $26.3k,2 own 1.1%,,🟢 (false) - 73/73,100% out of 4,"ivanphl.eth ($8,750)",,$55
1 hrs 20 mins,"$28,133 | 2X",20 out of 71,46 days ago,RENOUNCED (28),Binance,Below 100K 🟥🟥🟥,0x3a7d825f932612b512232798103c9dcaf6c84205,02:19:36:759,Bill Cipher Buy! 🐋🐋,202 (74.4 ETH),0/0,🪙 #BILL,🟢 28%,0 own 0%,5.6,99% | 91 days | Unicrypt,73659,(1) BearBrick,1 hrs 42 mins,(285) 167 - $104k,1,-34.0617,"$547,090",0 own 0%,,01:17:43,"$8,865",9 own 7.1%,(436) 334 - $112.7k,4 own 1.1%,,🟢 (false) - 163/163,100% out of 24,"0xadB...71 ($8,298)",,$818
1 days 1 hrs,"$334,750 | 0X",0 out of 0 Unique,8 days ago,UNKNOWN (20),Bitget,,0xfc93e5844a2015ceef26bf6cae6689ff031509f4,02:56:25:568,Cipher Protocol Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,414 (890.2 ETH),5/5,,🟢 34%,0 own 0%,45.4,99% | 364 days | Unicrypt,315417,(1) (https,1 days 5 hrs,(1571) 702 - $815.7k,,-30.3974,$0,12 own 9.4%,,17:16:57,$0,0 own 0%,,11 own 10.6%,3% | 5.68 eth,🟢 (false) - 287/287,94% out of 31,"raracapital.eth ($67,896)",🪙 #CIPHER,"$1,956"
4 hrs 36 mins,,50 out of 72,4 hrs ago,RENOUNCED (11),Binance,Below 50K 🟩🟨🟥,0x6fdd34b1aa7af03ac9e2a1a0a6e0337024326910,03:30:37:636,Wojak 2.0 Buy! 🐋,49 (22.7 ETH),0/0,🪙 #WOJAK2.0,🟢 33%,0 own 0%,2.7,98% | 32 days | Unicrypt,14597,,4 hrs 44 mins,(24) 14 - $7.5k,,-32.1537,,1 own 0%,,03:30:13,"$2,336",1 own 1.6%,(65) 58 - $10.8k,1 own 0.8%,,🟢 (false) - 44/44,57% out of 93,"0xb9C...E2 ($3,093)",,$371
0 mins,,96 out of 201,58 mins ago,0xc85...BB  (4),Mexc,Below 50K 🟩🟨🟥,0xfb48f0c0dc8c0f7464304de9f6621ab838acdcc8,03:30:49:237,MEMEVERSE Buy! 🐋,54 (36.5 ETH),0/4.6,🪙 #MEMEVERSE,🟢 23%,2 own 0.7%,4.2,Unknown Lock,40576,,56 mins,(0) 0 - $0,1,104.4044,,0 own 0%,,03:00:43,$668,53 own 51.9%,(53) 51 - $5k,1 own 2%,2% | 0.37 eth,🟢 (false) - 53/53,70% out of 10,"0xF84...4e ($3,340)",,$18
8 mins,,0 out of 0 Unique,20 hrs ago,0x751...C4  (7),Mexc,Below 10K 🟩🟩🟩,0x17a980a2843119aaea2c84e623339369542eee53,03:41:01:867,MoonGirl Buy! 🐋,18 (1.3 ETH),5.9/5.2,🪙 #GMOON,🟢 20%,0 own 0%,1.7,Unknown Lock,5037,,24 mins,(17) 17 - $0,,102.1032,,0 own 0%,,03:22:52,$659,3 own 4.9%,(0) 0 - $0,0 own 0%,,🟢 (false) - 17/17,47% out of 45,"0xc2B...D1 ($3,129)",,$74
2 mins,,0 out of 3,20 mins ago,0x8F1...f1  (5),0xBC2...4C,Below 10K 🟩🟩🟩,0x70940ce3a6fe4e528b9fcaf423090c5cb66063ca,03:49:24:818,WSB 2.0 Buy! 🐋🐋🐋,4 (0.6 ETH),20/34.8,🪙 #WSB2.0,🟢 29%,0 own 0%,1,Unknown Lock,2021,,18 mins,(0) 0 - $0,,108.2873,,0 own 0%,,03:36:11,$721,1 own 0.3%,(2) 2 - $39.8,0 own 0%,1% | 0.01 eth,🟢 (false) - 2/2,80% out of 240,"0xb73...EC ($13,235)",,$20
38 mins,"$40,576 | 0X",96 out of 201,1 hrs ago,RENOUNCED (15),Mexc,Below 50K 🟩🟨🟥,0xfb48f0c0dc8c0f7464304de9f6621ab838acdcc8,03:51:49:229,MEMEVERSE Buy! 🐋,106 (30.2 ETH),0/0,🪙 #MEMEVERSE,🟢 13%,0 own 0%,2.8,98% | 31 days | Unicrypt,17031,,1 hrs 34 mins,(181) 113 - $87.4k,3,-30.3863,,0 own 0%,,03:39:01,"$7,705",17 own 18.5%,(262) 211 - $90.7k,2 own 1.4%,,🟢 (false) - 99/99,92% out of 36,"0xaaF...49 ($3,170)",,$370
4 hrs 14 mins,"$7,615 | 3X",1 out of 2,23 hrs ago,RENOUNCED (17),Binance,Below 50K 🟩🟨🟥,0xf016f07c9b0787a18c81dc562f32ffe70003ca3b,03:53:01:372,Doge 2.0 Buy! 🐋,125 (33.8 ETH),0/0,🪙 #DOGE2.0,🟢 29%,0 own 0%,3.3,98% | 28 days | Unicrypt,24011,,4 hrs 21 mins,(417) 269 - $85.4k,3,-31.3284,,0 own 0%,,03:40:10,"$3,654",0 own 0%,(589) 383 - $89.7k,2 own 0.1%,,🟢 (false) - 113/114,100% out of 58,"0x85E...65 ($3,665)",,$370
8 mins,,0 out of 0 Unique,20 hrs ago,0x751...C4  (7),Mexc,Below 10K 🟩🟩🟩,0x17a980a2843119aaea2c84e623339369542eee53,03:56:49:161,MoonGirl Buy! 🐋,18 (1.3 ETH),5.9/5.2,🪙 #GMOON,🟢 20%,0 own 0%,1.7,Unknown Lock,5037,,24 mins,(17) 17 - $0,,105.1373,,0 own 0%,,03:51:51,$659,3 own 4.9%,(0) 0 - $0,0 own 0%,,🟢 (false) - 17/17,47% out of 45,"0xc2B...D1 ($3,129)",,$74
45 mins,"$5,037 | 7X",0 out of 0 Unique,21 hrs ago,RENOUNCED (11),Mexc,Below 50K 🟩🟨🟥,0x17a980a2843119aaea2c84e623339369542eee53,04:01:00:863,MoonGirl Buy! 🐋,66 (39.0 ETH),6/6.9,🪙 #GMOON,🟢 14%,0 own 0%,4.6,99% | BURNT,37987,,1 hrs 1 mins,(118) 72 - $5.1k,,-38.1642,,0 own 0%,,03:59:39,$652,3 own 3.9%,(0) 0 - $0,1 own 2.4%,,🟢 (false) - 51/51,75% out of 4,"0x879...66 ($3,502)",,$184
29 mins,,4 out of 14,38 mins ago,UNKNOWN (6),Binance,Below 10K 🟩🟩🟩,0x78da0ac2bf218993983ae53f66662c29b7a6df5a,04:03:38:808,SHIB2.0 Buy! 🐋,10 (8.0 ETH),0/0,🪙 #SHIB2.0,🟢 20%,0 own 0%,1.6,100% | 63 days | Pinksale,9077,,33 mins,(3) 3 - $839,1,-40.4676,,0 own 0%,,03:56:36,$223,1 own 0.3%,(14) 13 - $1.9k,0 own 0%,,🟢 (false) - 10/10,91% out of 22,"0x7E5...df ($3,731)",,$184
18 days 15 hrs,"$1,832 | 75X",309 out of 374,19 days ago,RENOUNCED (22),Bitget,,0xb81ae9ae911c4ca9c9f376a18f186efa07f530f6,04:17:25:769,The White Rabbit Buy! 🐋,193 (70.9 ETH),0/0,,🟢 11%,0 own 0%,10.2,98% | 36506 days | Unicrypt,139270,,18 days 16 hrs,(40) 32 - $13.6k,,-30.3032,,0 own 0%,,22:43:00,$33,11 own 6.5%,,2 own 0.5%,,🟢 (false) - 219/224,93% out of 14,"0x7Ce...04 ($3,769)",🪙 #RABBIT,$186
40 mins,,185 out of 296,14 hrs ago,RENOUNCED (22),FixedFloat,Below 50K 🟩🟨🟥,0xbd7860b49b4de3e133b72dd0a6a8237d37011ee0,04:21:25:012,GOOD IDEA AI Buy! 🐋🐋🐋,90 (58.4 ETH),0/2.2,🪙 #GOOD,🟢 23%,1 own 0.5%,3.3,98% | 182 days | Unicrypt,21957,,1 hrs 3 mins,(63) 30 - $11.1k,1,116.5937,,0 own 0%,,03:13:59,"$2,466",18 own 18.9%,(124) 114 - $15.7k,3 own 3.1%,,🟢 (false) - 80/80,95% out of 114,"0xDB9...2E ($14,249)",,$557
6 hrs 17 mins,"$94,801 | 0X",210 out of 307,2 days ago,RENOUNCED (38),0x021...7b,Below 50K 🟩🟨🟥,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,04:25:50:096,QUAKE Buy! 🐋🐋🐋🐋,197 (323.0 ETH),2/2,🪙 #QUAKE,🟢 19%,1 own 0.3%,10.7,99% | 92 days | Unicrypt,48714,,6 hrs 37 mins,(550) 396 - $369.1k,2,-31.1853,,3 own 2.6%,,23:32:02,"$20,806",19 own 3.1%,(780) 522 - $363.5k,2 own 1%,2.5% | 0.7 eth,🟢 (false) - 170/171,90% out of 189,"ucanfollowme.eth ($18,816)",,$928
1 hrs 3 mins,"$5,037 | 4X",0 out of 0 Unique,21 hrs ago,RENOUNCED (14),Mexc,Below 50K 🟩🟨🟥,0x17a980a2843119aaea2c84e623339369542eee53,04:35:01:141,MoonGirl Buy! 🐋,75 (72.4 ETH),6/6.5,🪙 #GMOON,🟢 24%,0 own 0%,3.7,99% | BURNT,24251,,1 hrs 19 mins,(174) 91 - $11.8k,1,107.2919,,0 own 0%,,04:17:40,$48,3 own 3.9%,(1) 1 - $128,1 own 2.4%,,🟢 (false) - 58/58,97% out of 79,"0xC1D...28 ($4,396)",,$185
4 hrs 0 mins,"$8,709 | 10X",0 out of 0 Unique,4 hrs ago,RENOUNCED (16),Binance,Below 100K 🟥🟥🟥,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,04:35:49:133,Pepe 3.0 Buy! 🐋,167 (118.2 ETH),1/0.5,🪙 #PEPE3.0,🟢 16%,8 own 8.8%,6.9,98% | 366 days | Unicrypt,95241,(1) (https,4 hrs 11 mins,(206) 89 - $53.6k,2,-30.7251,$0,1 own 1.9%,,03:52:03,$466,5 own 5.2%,(326) 223 - $64.6k,8 own 10.3%,3% | 2 eth,🟢 (false) - 136/136,100% out of 21,"0x6cb...e5 ($3,072)",,$203
3 mins,"$47,879 | 1X",1.2k out of 1.4k,41 mins ago,UNKNOWN (3),Binance,Below 100K 🟥🟥🟥,0x9282284950defb68a999e922cb9916bcc442bd02,04:37:26:135,FuckAzuki Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,48 (27.2 ETH),0/0,🪙 #FKAZUKI,🟢 9%,1 own 0.2%,11.9,Unknown Lock,87096,,4 mins,(3) 2 - $7.3k,,-45.1109,,1 own 0%,,04:36:37,$990,18 own 47.5%,(56) 50 - $23.9k,35 own 60%,,🟢 (false) - 47/47,100% out of 4,"0x28A...61 ($48,620)",,$92
0 mins,,106 out of 186,5 hrs ago,0x4cD...2B  (4),FixedFloat,Below 10K 🟩🟩🟩,0xafd8f819280abed3672c09aa54e72bcbaf14018e,04:37:36:841,Bacon 2.0 Buy! 🐋,2 (9.9 ETH),15/14.8,🪙 #BACON2.0,🟢🟢 46%,0 own 0%,1,Unknown Lock,2389,,4 mins,(0) 0 - $0,1,-30.3526,,0 own 0%,,04:37:13,"$3,139",1 own 1.7%,(1) 1 - $44.9,0 own 0%,2% | 0.03 eth,🟢 (false) - 1/1,94% out of 36,"0x310...60 ($3,995)",,$157
