,pair_age,init_market_cap,scams,funding_time,ape_score,liquidity,market_cap,contract_age,sell,airdrops,time_of_day,worth,buy,max_transmit,honeypot,safu_score,wallet,amount,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holders_qty,holders_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,status_100K,status_10K,status_50K,status_Above,printed
24,20,100730.0,0.21428571428571427,3,11,11.8,132632,24,161.0,1.0,62839.00000000001,6244,,,163,100,399303,94,5,6.2,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,100.1,0.0,0.0,9.0,11.2,5.0,7.7,1.0,0.8,30,0.0,0.0,0.0,1.0,False
25,1,,0.8823529411764706,7,12,4.3,19446,3,0.0,0.0,67837.0,367,33.0,0.18,9,84,3385,94,0,9.2,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,280.0,0.0,0.0,20.0,0.4,16.0,0.0,3.0,5.3,38,0.0,0.0,1.0,0.0,False
26,4,25856.0,0.4461538461538462,2,21,3.0,21349,13,447.0,1.0,68104.0,9916,588.0,,121,79,7839,94,0,0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,148.5,1.0,0.5,7.0,5.0,5.0,1.8,2.0,2.3,43,0.0,0.0,1.0,0.0,False
27,22,,0.0,2880,26,0.3,856,27,1.0,0.0,68698.0,1232,34.0,0.0,32,85,3499,301,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,74.3,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,40,0.0,1.0,0.0,0.0,True
28,22,856.0,0.0,2880,33,0.4,1188,27,1.0,0.0,68713.0,1232,34.0,0.0,33,87,5595,67,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,74.2,0.0,0.0,1.0,0.5,11.0,5.5,0.0,0.0,31,0.0,1.0,0.0,0.0,True
29,23,856.0,0.0,2880,37,1.5,16979,29,5.0,0.0,68783.0,1232,404.0,0.05,159,75,6430,56,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,134.3,0.0,0.0,1.0,0.5,12.0,5.9,1.0,0.5,392,0.0,0.0,1.0,0.0,False
30,8,,0.6666666666666666,1,21,8.8,286471,9,27.0,4.0,68589.0,13917,,,46,79,7824,566,0,0,19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,76.0,0.0,0.0,4.0,1.0,3.0,18.7,0.0,0.0,43,0.0,0.0,0.0,1.0,False
31,14,17622.0,0.55,1440,17,8.5,48199,26,261.0,2.0,60968.00000000001,9033,306.0,,100,100,23327,507,0,0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,405.1,0.0,0.0,4.0,3.0,3.0,11.1,3.0,4.6,4,0.0,0.0,1.0,0.0,False
32,7,3135.0,0.7157360406091371,1,18,8.6,99101,12,112.0,0.0,69771.0,652,274.0,,123,100,91514,188,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,207.3,0.0,0.0,19.0,18.7,4.0,3.6,2.0,2.3,5,1.0,0.0,0.0,0.0,False
33,15,3135.0,0.7157360406091371,1,8,8.2,89960,21,135.0,0.0,70281.0,652,306.0,,130,94,3287,94,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,207.9,0.0,0.0,19.0,18.4,4.0,3.6,2.0,2.3,33,1.0,0.0,0.0,0.0,False
