mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
3996,1.0,63.0,3.0,0.0,855.0,47,44,1,0.0,31.0,55530,34,86,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,123.8,0.0,0.0,1.0,0.8,5.0,4.5,1.0,0.9,176,False
28425,3.9,171.0,104.0,0.3,524.0,41,50,1,0.0,188.0,71627,17,100,2,2.9,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,25.5,0.0,0.0,2.0,3.0,1.0,0.8,0.0,0.0,5,False
3088,1.0,25.0,20.0,0.35714285714285715,185.0,41,30,11,2.0,86.0,3202,23,95,10,29.9,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.5,1.0,0.0,0.0,0.0,7.0,14.9,0.0,0.0,40,False
38633,3.8,442.0,232.0,0.0,1444.0,39,6,2,1.0,93.0,3197,10,89,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,177.0,99.1,1.0,0.4,2.0,0.7,8.0,5.0,2.0,1.4,94,True
183599,20.4,,365.0,0.6798679867986799,27165.0,16,55,2880,1.0,1887.0,15423,29,75,2,2,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,360.5,1.0,0.3,20.0,3.4,2.0,1.0,4.0,3.8,4,False
101314,6.2,,279.0,0.0,1442.0,5,31,3,1.0,553.0,3349,9,100,1,4,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,226.0,101.3,1.0,0.4,2.0,0.7,8.0,5.1,2.0,1.4,3,True
208562,8.9,,306.0,0.0,1443.0,10,37,3,1.0,372.0,6075,14,100,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,104.4,1.0,0.4,2.0,0.7,8.0,4.7,2.0,1.4,2,False
5593,1.4,48.0,33.0,0.35714285714285715,106.0,29,17,12,3.0,64.0,13744,23,72,0,0,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.2,1.0,0.0,0.0,0.0,6.0,12.8,0.0,0.0,87,False
129517,41.0,,684.0,0.0,3030.0,5767,24,17280,2.0,1405.0,3670,24,95,0,0,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,81.0,0.0,0.0,2.0,0.1,6.0,2.7,0.0,0.0,19,False
55253,10.3,147.0,129.0,1.0,0.0,95052,95050,96480,4.0,372.0,8500,21,100,0,0,137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,266.8,7.0,2.1,0.0,0.0,7.0,1.4,3.0,1.3,47,False
111372,16.0,,448.0,0.6798679867986799,27425.0,47,27,2880,2.0,932.0,19795,19,90,2,2,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,362.1,1.0,0.3,19.0,3.1,3.0,1.0,4.0,3.8,195,False
472967,13.6,,387.0,0.0,1445.0,22,48,3,1.0,373.0,3121,12,100,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,285.0,180.1,1.0,0.4,2.0,0.7,6.0,3.5,3.0,2.2,3,True
16172,3.7,17.0,12.0,0.32786885245901637,5983.0,7223,7223,8640,1.0,373.0,5552,37,75,2,2.4,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,112.4,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.9,394,True
12196,2.4,38.0,2.0,0.5674157303370787,2943.0,7,3,11,1.0,93.0,6421,18,100,0,5.6,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,46.7,0.0,0.0,6.0,9.6,0.0,0.0,0.0,0.0,17,False
7826,2.9,50.0,1.0,0.5625,827.0,4,1,1440,0.0,243.0,4384,79,45,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,29,True
6110,1.7,15.0,0.0,0.5642458100558659,591.0,12,1,16,1.0,121.0,5869,37,75,0,4,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.3,0.0,0.0,4.0,5.7,1.0,1.2,0.0,0.0,395,False
41833,5.9,33.0,20.0,0.32786885245901637,5983.0,7223,7223,8640,1.0,838.0,4712,29,99,2,4.8,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,112.5,0.0,0.0,2.0,3.0,2.0,2.6,1.0,1.9,75,False
21238,4.8,134.0,29.0,0.625,3637.0,11,8,1440,0.0,74.0,8561,10,25,0,99,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,110.2,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,12,True
121423,8.9,,24.0,0.6625,1086.0,413302,413302,413280,209.0,746.0,20041,19,90,4,9.5,1292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,3631.2,7.0,125.5,1.0,13.5,15.0,1.8,2.0,2.6,194,False
4633,1.4,41.0,0.0,0.48717948717948717,239.0,18,0,19,1.0,298.0,3234,26,86,20,19.9,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,43,False
6866,1.7,59.0,0.0,0.48717948717948717,239.0,18,0,19,1.0,83.0,3128,33,56,0,2.3,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,32.8,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,91,False
10723,2.1,69.0,0.0,0.48717948717948717,239.0,19,1,20,1.0,64.0,4549,29,99,0,2.9,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.9,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,75,False
