,mcap,liquidity,scams,worth,contract_age,pair_age,wallet,safu_score,buy_tax,owner_type_UNKNOWN,source_Coinbase,source_Kraken,source_SideShift,holds_qty,holds_amt,spoofed_qty,snipers_qty,whales_pct,printed
61,31849,3.7,0.5760869565217391,5613.0,7,3,7649,100,0.0,0.0,0.0,0.0,0.0,86.0,33.7,0.0,23.0,0.0,False
62,31366,4.8,0.55,1164.0,7,1,4066,42,0.0,0.0,0.0,0.0,0.0,53.0,82.8,0.0,13.0,0.0,False
63,27020,5.5,0.8571428571428571,937.0,15,14,25940,92,0.0,1.0,0.0,0.0,0.0,78.0,228.4,1.0,7.0,2.5,False
64,23529,4.2,0.55,10235.0,19,13,7619,100,0.0,0.0,0.0,0.0,0.0,141.0,105.4,0.0,12.0,0.0,False
65,53403,12.8,0.65,13.0,537140,537140,7477,100,0.0,0.0,0.0,0.0,0.0,185.0,624.6,0.0,0.0,3.1,False
66,7513,2.9,0.8571428571428571,937.0,25,24,16266,90,0.0,1.0,0.0,0.0,0.0,50.0,190.8,1.0,1.0,2.5,True
67,3774,1.3,0.5,617.0,5,0,3119,67,20.0,0.0,0.0,0.0,0.0,8.0,5.1,0.0,7.0,0.0,True
68,38630,9.7,0.7948717948717948,168.0,13,0,7064,75,0.0,1.0,0.0,0.0,0.0,18.0,13.9,1.0,9.0,0.0,True
69,27981,3.5,0.2941176470588235,5851.0,30,11,4033,94,0.0,0.0,0.0,0.0,0.0,104.0,46.3,0.0,11.0,0.0,False
70,17017,3.6,0.55,10234.0,28,22,5664,100,0.0,0.0,0.0,0.0,0.0,114.0,77.5,0.0,11.0,0.0,True
71,6045,1.7,1.0,486.0,28,15,16779,93,1.0,1.0,0.0,0.0,0.0,17.0,19.2,0.0,0.0,0.0,True
72,4404,1.4,0.0,753.0,7,0,7593,75,0.0,0.0,0.0,0.0,0.0,36.0,19.0,0.0,33.0,0.0,False
73,7615,1.8,0.0,753.0,7,0,7564,75,0.0,0.0,0.0,0.0,0.0,36.0,18.8,0.0,33.0,0.0,False
74,28831,3.6,0.2941176470588235,5851.0,45,26,3428,99,0.0,0.0,0.0,0.0,0.0,148.0,122.1,1.0,4.0,0.7,False
75,30276,3.7,0.2941176470588235,5851.0,48,30,5898,90,0.0,0.0,0.0,0.0,0.0,137.0,113.7,1.0,3.0,0.7,False
76,4111,1.5,0.53,96.0,18,0,3614,49,20.0,0.0,0.0,0.0,0.0,18.0,12.1,0.0,16.0,0.0,True
77,22444,3.1,0.0,753.0,8,1,7450,75,0.0,0.0,0.0,0.0,0.0,91.0,71.6,0.0,33.0,0.5,True
78,9653,3.3,0.8571428571428571,0.0,30,28,6562,100,0.0,1.0,0.0,0.0,0.0,49.0,186.7,1.0,1.0,2.5,True
79,7933,1.9,0.2898550724637681,701.0,25,4,3149,100,0.0,0.0,0.0,0.0,0.0,19.0,6.4,0.0,7.0,0.0,False
80,31746,4.2,0.7338709677419355,6776.0,22,17,3300,97,0.0,0.0,0.0,0.0,0.0,114.0,131.2,0.0,16.0,0.0,False
81,17410,4.4,0.8571428571428571,0.0,4,3,6916,96,0.0,1.0,0.0,0.0,0.0,69.0,193.4,1.0,1.0,2.5,False
82,45708,4.5,0.2941176470588235,5852.0,50,32,3281,100,0.0,0.0,0.0,0.0,0.0,143.0,114.8,1.0,3.0,0.7,False
83,10035,2.5,0.4936708860759494,75.0,99375,99375,10862,100,0.0,0.0,0.0,0.0,0.0,152.0,31.0,0.0,15.0,0.0,False
84,32318,3.6,0.2857142857142857,3314.0,29,8,3748,84,0.0,0.0,0.0,0.0,0.0,90.0,38.6,0.0,48.0,0.0,False
85,57967,5.6,0.7338709677419355,6776.0,27,22,6435,91,0.0,0.0,0.0,0.0,0.0,144.0,138.3,0.0,16.0,0.0,True
86,28262,4.0,0.7338709677419355,6775.0,33,28,3709,99,0.0,0.0,0.0,0.0,0.0,143.0,135.2,0.0,16.0,0.0,True
87,26396,3.6,0.9130434782608696,0.0,42,53,13696,72,0.0,1.0,0.0,0.0,0.0,40.0,15.4,0.0,1.0,0.0,False
88,11248,2.5,0.4864864864864865,376.0,12,3,3502,70,25.0,0.0,0.0,0.0,0.0,31.0,11.2,0.0,7.0,0.0,False
89,17547,3.1,0.4864864864864865,376.0,14,5,3496,70,25.0,0.0,0.0,0.0,0.0,40.0,14.0,0.0,7.0,0.0,False
90,10228,2.4,0.7338709677419355,5817.0,44,39,18895,90,0.0,0.0,0.0,0.0,0.0,90.0,191.3,0.0,5.0,0.5,False
91,6819,2.9,0.0,2599.0,4,0,4863,33,15.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,9.0,0.0,True
