cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
3996,1.0,63,3,0.0,855.0,47,44,1,INDIVIDUAL,0.0,31.0,55530,34,86,0,0,INDIVIDUAL,6,49.0,123.8,0.0,0.0,1.0,0.8,5.0,4.5,1.0,0.9,176,FALSE
28425,3.9,171,104,0.3,524.0,41,50,1,Coinbase,0.0,188.0,71627,17,100,2,2.9,RENOUNCED,11,97.0,25.5,0.0,0.0,2.0,3.0,1.0,0.8,0.0,0.0,5,FALSE
3088,1.0,25,20,0.35714285714285700,185.0,41,30,11,INDIVIDUAL,2.0,86.0,3202,23,95,10,29.9,INDIVIDUAL,15,17.0,1.5,1.0,0.0,0.0,0.0,7.0,14.9,0.0,0.0,40,FALSE
38633,3.8,442,232,0.0,1444.0,39,6,2,Kucoin,1.0,93.0,3197,10,89,1,1,RENOUNCED,21,177.0,99.1,1.0,0.4,2.0,0.7,8.0,5.0,2.0,1.4,94,TRUE
183599,20.4,,365,0.6798679867986800,27165.0,16,55,2880,INDIVIDUAL,1.0,1887.0,15423,29,75,2,2,RENOUNCED,31,253.0,360.5,1.0,0.3,20.0,3.4,2.0,1.0,4.0,3.8,4,FALSE
101314,6.2,,279,0.0,1442.0,5,31,3,Kucoin,1.0,553.0,3349,9,100,1,4,RENOUNCED,21,226.0,101.3,1.0,0.4,2.0,0.7,8.0,5.1,2.0,1.4,3,TRUE
208562,8.9,,306,0.0,1443.0,10,37,3,Kucoin,1.0,372.0,6075,14,100,1,1,RENOUNCED,21,241.0,104.4,1.0,0.4,2.0,0.7,8.0,4.7,2.0,1.4,2,FALSE
5593,1.4,48,33,0.35714285714285700,106.0,29,17,12,INDIVIDUAL,3.0,64.0,13744,23,72,0,0,RENOUNCED,26,27.0,6.2,1.0,0.0,0.0,0.0,6.0,12.8,0.0,0.0,87,FALSE
129517,41.0,,684,0.0,3030.0,5767,24,17280,Binance,2.0,1405.0,3670,24,95,0,0,RENOUNCED,33,133.0,81.0,0.0,0.0,2.0,0.1,6.0,2.7,0.0,0.0,19,FALSE
55253,10.3,147,129,1.0,0.0,95052,95050,96480,INDIVIDUAL,4.0,372.0,8500,21,100,0,0,RENOUNCED,137,514.0,266.8,7.0,2.1,0.0,0.0,7.0,1.4,3.0,1.3,47,FALSE
111372,16.0,,448,0.6798679867986800,27425.0,47,27,2880,INDIVIDUAL,2.0,932.0,19795,19,90,2,2,RENOUNCED,35,256.0,362.1,1.0,0.3,19.0,3.1,3.0,1.0,4.0,3.8,195,FALSE
472967,13.6,,387,0.0,1445.0,22,48,3,Kucoin,1.0,373.0,3121,12,100,1,1,RENOUNCED,21,285.0,180.1,1.0,0.4,2.0,0.7,6.0,3.5,3.0,2.2,3,TRUE
