mcap,liquidity,buy,sell,tax,scams,owner,worth,contract_age,pair_age,funding_time,source,holds,spoofed,snipers,fresh,whales,airdrops,amount,wallet,ape_score,safu_score,result
14289,2.7,(46) 45 - $3.4k,(8) 4 - $408.7,5/18.9,3 out of 10,0xF6F...B1  (5),$956.00,55 mins,6 mins,56 mins ago,Coinbase,45 (25.2 ETH),0 own 0%,4 own 6.3%,0 own 0%,0 own 0%,,$188.00,"0xe2a...15 ($3,203)",🟢 22%,96% out of 28,109.2614
29902,3.9,(69) 68 - $6.6k,(15) 7 - $1.6k,5/16.3,3 out of 10,0xF6F...B1  (5),"$1,202.00",58 mins,9 mins,59 mins ago,Coinbase,63 (36.9 ETH),0 own 0%,4 own 6.3%,0 own 0%,0 own 0%,,$94.00,"theonlythingthatgivesordersinthisworldisballs.eth ($9,622)",🟢 7%,81% out of 21,-30.6426
41628,4.1,(174) 146 - $30.4k,(82) 34 - $24.6k,0/4.8,203 out of 455,RENOUNCED (11),"$7,152.00",20 mins,10 mins,24 mins ago,Binance,124 (80.1 ETH),3 own 5.9%,30 own 26.4%,0 own 0%,1 own 1.8%,1.0,$226.00,"0x243...c4 ($3,036)",🟢 32%,94% out of 82,-30.7128
1932,0.6,(0) 0 - $0,(0) 0 - $0,0/0,184 out of 335,RENOUNCED (6),$115.00,23 hrs 7 mins,0 mins,23 hrs ago,0x406...2f,,,,,,,$471.00,"0xdF4...75 ($6,485)",🟢 10%,78% out of 23,165.9233
175429,19.7,,(68) 48 - $107.5k,2/10,206 out of 302,0x1DF...B9  (22),"$24,316.00",23 mins,3 mins,2 days ago,0x021...7b,212 (264.0 ETH),1 own 0.3%,52 own 9.1%,16 own 9.9%,4 own 3.6%,1.0,$942.00,"0xf24...58 ($8,021)",🟢 35%,75% out of 4,-33.1047
3685,1.3,(10) 9 - $749,(2) 1 - $126.9,0/6.2,4 out of 5,RENOUNCED (10),"$1,407.00",20 mins,8 mins,1 hrs ago,Binance,10 (1.6 ETH),0 own 0%,4 own 8.7%,0 own 0%,0 own 0%,,$94.00,"0xe2a...15 ($3,030)",🟢 23%,97% out of 30,-42.4737
3732,1.4,(25) 17 - $1.8k,(4) 4 - $1k,0/0,3 out of 3,RENOUNCED (10),$664.00,17 mins,10 mins,3 hrs ago,Binance,13 (2.1 ETH),0 own 0%,0 own 0%,2 own 8.2%,0 own 0%,,$66.00,"0xb88...07 ($6,812)",🟢 14%,100% out of 4,114.4199
172201,10.0,,(57) 23 - $19.1k,4/5.2,1.1k out of 1.4k,RENOUNCED (39),"$11,334.00",13 days 6 hrs,13 days 6 hrs,13 days ago,Binance,221 (46.7 ETH),0 own 0%,0 own 0%,3 own 0%,0 own 0%,1.0,$282.00,"0x8d9...98 ($3,034)",🟢 17%,100% out of 6,-32.7959
125822,16.8,,(278) 198 - $265.7k,2/3.7,206 out of 303,RENOUNCED (25),"$29,996.00",1 hrs 14 mins,54 mins,2 days ago,0x021...7b,259 (464.5 ETH),1 own 0.3%,25 own 3.6%,4 own 1.3%,6 own 5.4%,1.0,$943.00,"ucanfollowme.eth ($20,131)",🟢 19%,90% out of 195,-33.9065
8417,3.0,(28) 26 - $2.4k,(2) 1 - $516.3,5/4.9,9 out of 13,RENOUNCED (10),$943.00,11 mins,7 mins,2 hrs ago,Binance,26 (7.4 ETH),0 own 0%,10 own 15.8%,6 own 10%,0 own 0%,,$103.00,"0xD8D...Dc ($3,624)",🟢🟢🟢 63%,75% out of 12,-31.4467
51284,4.6,(488) 330 - $119.9k,(332) 170 - $113.2k,0/0,203 out of 455,RENOUNCED (14),"$9,909.00",1 hrs 33 mins,1 hrs 23 mins,1 hrs ago,Binance,187 (70.4 ETH),1 own 0.4%,14 own 10%,6 own 1.8%,1 own 1.8%,1.0,$188.00,"0x0B1...66 ($7,798)",🟢 21%,80% out of 44,103.1361
14927,3.8,(192) 158 - $44.5k,(174) 84 - $36.4k,5/9.1,1 out of 3,RENOUNCED (35),"$12,331.00",3 hrs 47 mins,3 hrs 20 mins,3 hrs ago,Binance,88 (47.7 ETH),1 own 0.1%,4 own 2.7%,2 own 0.6%,0 own 0%,15.0,$299.00,"0x1d8...4f ($7,013)",🟢 21%,91% out of 105,-32.7343
16258,4.0,(75) 43 - $3.7k,(0) 0 - $0,10/24.7,0 out of 0 Unique,UNKNOWN (8),"$3,710.00",32 mins,9 mins,1 days ago,Binance,45 (21.3 ETH),0 own 0%,2 own 2%,11 own 10.3%,0 own 0%,,$162.00,"0x03B...9E ($3,775)",🟢 27%,83% out of 29,-31.0443
27762,3.4,(541) 349 - $130.2k,(387) 202 - $125.6k,0/0,203 out of 455,RENOUNCED (14),"$9,911.00",1 hrs 47 mins,1 hrs 37 mins,1 hrs ago,Binance,174 (68.9 ETH),1 own 0.4%,9 own 5.1%,7 own 1.9%,1 own 1.8%,1.0,$377.00,"ucanfollowme.eth ($20,217)",🟢 19%,90% out of 195,100.2096
132632,11.8,,(161) 106 - $91.6k,5/6.2,6 out of 28,RENOUNCED (12),"$6,244.00",2 hrs 22 mins,2 hrs 18 mins,3 hrs ago,Bybit,176 (100.1 ETH),0 own 0%,9 own 11.2%,5 own 7.7%,1 own 0.8%,1.0,$94.00,"0xA55...4B ($399,303)",🟢 11%,100% out of 30,-34.3321
19446,4.3,(33) 33 - $4.8k,(0) 0 - $0,0/9.2,15 out of 17,0xd4C...58  (5),$367.00,3 mins,1 mins,7 mins ago,Binance,29 (280.0 ETH),0 own 0%,20 own 0.4%,16 own 0%,3 own 5.3%,,$94.00,"0xAcb...f8 ($3,385)",🟢 12%,84% out of 38,-48.7909
21349,3.0,(588) 359 - $136.5k,(447) 245 - $132.7k,0/0,203 out of 455,RENOUNCED (14),"$9,916.00",2 hrs 11 mins,2 hrs 2 mins,2 hrs ago,Binance,138 (148.5 ETH),1 own 0.5%,7 own 5%,5 own 1.8%,2 own 2.3%,1.0,$94.00,"0x0B1...66 ($7,839)",🟢 21%,79% out of 43,-35.2129
856,0.3,(34) 34 - $104.6,(1) 1 - $2.8,0/0,0 out of 0 Unique,0x876...E1  (6),"$1,232.00",27 mins,22 mins,2 days ago,0x9e5...d2,46 (74.3 ETH),0 own 0%,1 own 0.5%,11 own 5.5%,0 own 0%,,$301.00,"0xdda...30 ($3,499)",🟢 26%,85% out of 40,134.4532
1188,0.4,(34) 34 - $104.6,(1) 1 - $2.8,0/0,0 out of 0 Unique,0x876...E1  (6),"$1,232.00",27 mins,22 mins,2 days ago,0x9e5...d2,46 (74.2 ETH),0 own 0%,1 own 0.5%,11 own 5.5%,0 own 0%,,$67.00,"0xd5B...5D ($5,595)",🟢 33%,87% out of 31,272.6794
16979,1.5,(404) 176 - $10.1k,(5) 2 - $8.1k,0/0,0 out of 0 Unique,0x876...E1  (6),"$1,232.00",29 mins,23 mins,2 days ago,0x9e5...d2,180 (134.3 ETH),0 own 0%,1 own 0.5%,12 own 5.9%,1 own 0.5%,,$56.00,"0xd2f...E7 ($6,430)",🟢 37%,75% out of 392,-42.3455
286471,8.8,,(27) 26 - $17.2k,0/0,4 out of 6,RENOUNCED (19),"$13,917.00",1 hrs 8 mins,8 mins,1 hrs ago,Binance,99 (76.0 ETH),0 own 0%,4 own 1%,3 own 18.7%,0 own 0%,4.0,$566.00,"0x0B1...66 ($7,824)",🟢 21%,79% out of 43,-30.3172
48199,8.5,(306) 260 - $105.7k,(261) 155 - $97.2k,0/0,1.1k out of 2k,RENOUNCED (16),"$9,033.00",5 hrs 21 mins,5 hrs 9 mins,1 days ago,0x33D...98,114 (405.1 ETH),0 own 0%,4 own 3%,3 own 11.1%,3 own 4.6%,2.0,$507.00,"ketamine69.eth ($23,327)",🟢 17%,100% out of 4,-30.2883
99101,8.6,(274) 161 - $160.4k,(112) 37 - $147k,0/0,282 out of 394,0x83D...2D  (10),$652.00,12 mins,7 mins,1 hrs ago,FixedFloat,125 (207.3 ETH),0 own 0%,19 own 18.7%,4 own 3.6%,2 own 2.3%,,$188.00,"0x467...Fc ($91,514)",🟢 18%,100% out of 5,-30.1833
89960,8.2,(306) 187 - $220k,(135) 54 - $206.9k,0/0,282 out of 394,0x83D...2D  (10),$652.00,21 mins,15 mins,1 hrs ago,FixedFloat,134 (207.9 ETH),0 own 0%,19 own 18.4%,4 own 3.6%,2 own 2.3%,,$94.00,"0xdFe...Fd ($3,287)",🟢 8%,94% out of 33,-31.527
149378,6.4,,(66) 56 - $32.1k,0/0,4 out of 6,RENOUNCED (19),"$13,910.00",1 hrs 16 mins,17 mins,1 hrs ago,Binance,84 (73.2 ETH),0 own 0%,3 own 0.9%,2 own 18.3%,0 own 0%,4.0,$309.00,"joebiden.eth ($5,245)",🟢 24%,100% out of 14,-34.3381
36702,6.0,(220) 171 - $49.5k,(179) 86 - $42k,5/7.7,1 out of 3,RENOUNCED (35),"$12,788.00",3 hrs 53 mins,3 hrs 27 mins,3 hrs ago,Binance,104 (50.4 ETH),1 own 0.1%,4 own 2.7%,2 own 0.6%,0 own 0%,15.0,$188.00,"0x61d...D4 ($3,858)",🟢 17%,98% out of 87,104.9597
467692,11.8,,(171) 61 - $96.7k,3/3,1.1k out of 1.4k,RENOUNCED (18),$0.00,5 days 2 hrs,5 days 1 hrs,5 days ago,Kucoin,123 (95.9 ETH),0 own 0%,1 own 0.4%,6 own 31.4%,0 own 0%,3.0,"$1,130.00","0x6A9...f1 ($11,380)",🟢 22%,92% out of 38,-34.0266
1554,0.6,(23) 22 - $242.5,(0) 0 - $0,0/0,0 out of 1,0x704...47  (6),$856.00,26 mins,23 mins,1 hrs ago,0x048...E4,24 (21.4 ETH),0 own 0%,1 own 0.8%,4 own 3.6%,0 own 0%,,$54.00,"😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴😴.eth ($4,553)",🟢 22%,63% out of 56,100.579
9320,2.2,(30) 30 - $1.8k,(0) 0 - $0,20/35.7,18 out of 26,0xCB5...AF  (5),$369.00,4 days 5 hrs,0 mins,4 days ago,FixedFloat,33 (64.3 ETH),0 own 0%,23 own 28.4%,1 own 0.8%,1 own 1.6%,1.0,$188.00,"0xd2f...E7 ($6,221)",🟢 37%,75% out of 393,102.2784
3996,1.0,(63) 52 - $1k,(3) 3 - $49.9,0/0,0 out of 1,0x704...47  (6),$855.00,47 mins,44 mins,1 hrs ago,0x048...E4,49 (123.8 ETH),0 own 0%,1 own 0.8%,5 own 4.5%,1 own 0.9%,,$31.00,"0xb8f...57 ($55,530)",🟢 34%,86% out of 176,-31.3768
28425,3.9,(171) 144 - $22.8k,(104) 54 - $17.5k,2/2.9,3 out of 10,RENOUNCED (11),$524.00,1 hrs 40 mins,50 mins,1 hrs ago,Coinbase,97 (25.5 ETH),0 own 0%,2 own 3%,1 own 0.8%,0 own 0%,,$188.00,"0xfaf...d8 ($71,627)",🟢 17%,100% out of 5,-30.345
3088,1.0,(25) 22 - $1.5k,(20) 10 - $872.9,10/29.9,5 out of 14,0x856...c3  (15),$185.00,41 mins,30 mins,11 hrs ago,0xfE3...4F,17 (1.5 ETH),1 own 0%,0 own 0%,7 own 14.9%,0 own 0%,2.0,$86.00,"0xc8c...AC ($3,202)",🟢 23%,95% out of 40,-34.0148
38633,3.8,(442) 301 - $70.6k,(232) 152 - $63.9k,1/1,0 out of 0 Unique,RENOUNCED (21),"$1,444.00",2 hrs 37 mins,2 hrs 4 mins,2 hrs ago,Kucoin,177 (99.1 ETH),1 own 0.4%,2 own 0.7%,8 own 5%,2 own 1.4%,1.0,$93.00,"0xAe6...03 ($3,197)",🟢 10%,89% out of 94,109.5312
183599,20.4,,(365) 263 - $301.6k,2/2,206 out of 303,RENOUNCED (31),"$27,165.00",2 hrs 14 mins,1 hrs 54 mins,2 days ago,0x021...7b,253 (360.5 ETH),1 own 0.3%,20 own 3.4%,2 own 1%,4 own 3.8%,1.0,"$1,887.00","0xBc1...d7 ($15,423)",🟢 29%,75% out of 4,-30.7914
101314,6.2,,(279) 179 - $78.8k,1/4,0 out of 0 Unique,RENOUNCED (21),"$1,442.00",3 hrs 2 mins,2 hrs 29 mins,3 hrs ago,Kucoin,226 (101.3 ETH),1 own 0.4%,2 own 0.7%,8 own 5.1%,2 own 1.4%,1.0,$553.00,"0x8B4...b2 ($3,349)",🟢 9%,100% out of 3,101.4016
208562,8.9,,(306) 188 - $90k,1/1,0 out of 0 Unique,RENOUNCED (21),"$1,443.00",3 hrs 7 mins,2 hrs 35 mins,3 hrs ago,Kucoin,241 (104.4 ETH),1 own 0.4%,2 own 0.7%,8 own 4.7%,2 own 1.4%,1.0,$372.00,"0x745...A2 ($6,075)",🟢 14%,100% out of 2,-31.2285
5593,1.4,(48) 39 - $3k,(33) 17 - $1.7k,0/0,5 out of 14,RENOUNCED (26),$106.00,1 hrs 28 mins,1 hrs 16 mins,12 hrs ago,0xfE3...4F,27 (6.2 ETH),1 own 0%,0 own 0%,6 own 12.8%,0 own 0%,3.0,$64.00,"0x9B2...25 ($13,744)",🟢 23%,72% out of 87,-30.6694
129517,41.0,,(684) 477 - $891.2k,0/0,0 out of 1,RENOUNCED (33),"$3,030.00",4 days 7 hrs,8 hrs 16 mins,12 days ago,Binance,133 (81.0 ETH),0 own 0%,2 own 0.1%,6 own 2.7%,0 own 0%,2.0,"$1,405.00","0x905...38 ($3,670)",🟢 24%,95% out of 19,-31.6898
55253,10.3,(147) 93 - $62.5k,(129) 83 - $57.9k,0/0,7 out of 7,RENOUNCED (137),$0.00,66 days 12 hrs,66 days 10 hrs,67 days ago,0x7a7...83,514 (266.8 ETH),7 own 2.1%,0 own 0%,7 own 1.4%,3 own 1.3%,4.0,$372.00,"0xBFf...06 ($8,500)",🟢 21%,100% out of 47,-31.795
111372,16.0,,(448) 323 - $339.3k,2/2,206 out of 303,RENOUNCED (35),"$27,425.00",3 hrs 44 mins,3 hrs 24 mins,2 days ago,0x021...7b,256 (362.1 ETH),1 own 0.3%,19 own 3.1%,3 own 1%,4 own 3.8%,2.0,$932.00,"ucanfollowme.eth ($19,795)",🟢 19%,90% out of 195,-35.7056
472967,13.6,,(387) 224 - $136.3k,1/1,0 out of 0 Unique,RENOUNCED (21),"$1,445.00",3 hrs 19 mins,2 hrs 46 mins,3 hrs ago,Kucoin,285 (180.1 ETH),1 own 0.4%,2 own 0.7%,6 own 3.5%,3 own 2.2%,1.0,$373.00,"0x0b7...f4 ($3,121)",🟢 12%,100% out of 3,103.3914
16172,3.7,(17) 16 - $3.2k,(12) 8 - $1.5k,2/2.4,20 out of 61,RENOUNCED (20),"$5,983.00",5 days 23 hrs,5 days 23 hrs,6 days ago,0x077...A4,104 (112.4 ETH),0 own 0%,2 own 3%,1 own 2%,1 own 1.9%,1.0,$373.00,"0xd2f...E7 ($5,552)",🟢 37%,75% out of 394,129.4844
3723,2.0,(0) 0 - $0,(0) 0 - $0,0/0,9 out of 16,0xbF6...78  (4),$827.00,3 mins,0 mins,1 days ago,Binance,,,,,,,$74.00,"0x65D...75 ($8,492)",🟢 17%,42% out of 12,110.1653
12196,2.4,(38) 38 - $2.8k,(2) 1 - $247.8,0/5.6,101 out of 178,RENOUNCED (8),"$2,943.00",7 mins,3 mins,11 mins ago,FixedFloat,38 (46.7 ETH),0 own 0%,6 own 9.6%,0 own 0%,0 own 0%,1.0,$93.00,"0x896...FD ($6,421)",🟢 18%,100% out of 17,-35.3271
7826,2.9,(50) 25 - $12.5k,(1) 1 - $10.8k,0/0,9 out of 16,0xbF6...78  (4),$827.00,4 mins,1 mins,1 days ago,Binance,24 (58.0 ETH),0 own 0%,8 own 0.1%,0 own 0%,0 own 0%,,$243.00,"0xc53...d2 ($4,384)",🟢🟢🟢 79%,45% out of 29,101.7384
6110,1.7,(15) 15 - $833.6,(0) 0 - $0,0/4,101 out of 179,0x291...97  (4),$591.00,12 mins,1 mins,16 mins ago,Binance,16 (18.3 ETH),0 own 0%,4 own 5.7%,1 own 1.2%,0 own 0%,1.0,$121.00,"0xd2f...E7 ($5,869)",🟢 37%,75% out of 395,-30.4094
41833,5.9,(33) 31 - $9.1k,(20) 15 - $4.9k,2/4.8,20 out of 61,RENOUNCED (20),"$5,983.00",5 days 23 hrs,5 days 23 hrs,6 days ago,0x077...A4,111 (112.5 ETH),0 own 0%,2 own 3%,2 own 2.6%,1 own 1.9%,1.0,$838.00,"0x088...1F ($4,712)",🟢 29%,99% out of 75,-34.6638
21238,4.8,(134) 96 - $25.5k,(29) 20 - $20.3k,0/99,10 out of 16,0xbF6...78  (9),"$3,637.00",11 mins,8 mins,1 days ago,Binance,83 (110.2 ETH),0 own 0%,8 own 0.1%,0 own 0%,0 own 0%,,$74.00,"0x7d1...65 ($8,561)",🟢 10%,25% out of 12,100.0089
121423,8.9,,(24) 14 - $5.5k,4/9.5,53 out of 80,RENOUNCED (1292),"$1,086.00",287 days 22 hrs,287 days 22 hrs,287 days ago,0x60d...51,223 (3631.2 ETH),7 own 125.5%,1 own 13.5%,15 own 1.8%,2 own 2.6%,209.0,$746.00,"ucanfollowme.eth ($20,041)",🟢 19%,90% out of 194,-31.6275
4633,1.4,(41) 41 - $771.2,(0) 0 - $0,20/19.9,95 out of 195,0xd0D...74  (4),$239.00,18 mins,0 mins,19 mins ago,Binance,30 (12.0 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,$298.00,"0xdda...30 ($3,234)",🟢 26%,86% out of 43,-32.5235
6866,1.7,(59) 59 - $1.3k,(0) 0 - $0,0/2.3,95 out of 195,0xd0D...74  (4),$239.00,18 mins,0 mins,19 mins ago,Binance,42 (32.8 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,$83.00,"0xb9C...E2 ($3,128)",🟢 33%,56% out of 91,-35.9725
10723,2.1,(69) 69 - $1.8k,(0) 0 - $0,0/2.9,95 out of 195,0xd0D...74  (4),$239.00,19 mins,1 mins,20 mins ago,Binance,60 (44.9 ETH),0 own 0%,24 own 11.2%,0 own 0%,0 own 0%,1.0,$64.00,"0x088...1F ($4,549)",🟢 29%,99% out of 75,-37.2441
17088,2.7,(90) 90 - $3.2k,(0) 0 - $0,0/3.7,95 out of 195,0xd0D...74  (4),$239.00,19 mins,1 mins,20 mins ago,Binance,86 (123.2 ETH),0 own 0%,24 own 11.2%,0 own 0%,1 own 0.6%,1.0,$102.00,"0xb73...EC ($11,610)",🟢 29%,80% out of 243,-32.814
613459,13.5,,(187) 69 - $112.8k,3/3,1.1k out of 1.4k,RENOUNCED (18),$0.00,5 days 2 hrs,5 days 2 hrs,5 days ago,Kucoin,138 (87.1 ETH),0 own 0%,1 own 0.4%,7 own 27.7%,0 own 0%,3.0,"$1,882.00","0xAb1...Ff ($4,093)",🟢 15%,88% out of 17,102.1275
914554,19.8,,(648) 324 - $392.3k,1/1,0 out of 0 Unique,RENOUNCED (21),"$1,445.00",3 hrs 53 mins,3 hrs 21 mins,3 hrs ago,Kucoin,437 (110.4 ETH),1 own 0.4%,2 own 0.7%,6 own 3.1%,2 own 1.4%,1.0,$933.00,"0x55b...6C ($7,052)",🟢 24%,96% out of 23,107.4807
307328,9.7,,(246) 93 - $160k,3/3,1.1k out of 1.4k,RENOUNCED (18),$0.00,5 days 4 hrs,5 days 4 hrs,5 days ago,Kucoin,165 (91.2 ETH),0 own 0%,1 own 0.4%,8 own 38.3%,0 own 0%,3.0,"$1,866.00","0x792...12 ($5,617)",🟢 19%,100% out of 5,-35.5255
25432,3.3,(106) 106 - $4.3k,(0) 0 - $0,0/3.3,95 out of 195,0xd0D...74  (4),$239.00,20 mins,1 mins,21 mins ago,Binance,91 (115.4 ETH),0 own 0%,24 own 11.2%,0 own 0%,1 own 0.6%,1.0,$37.00,"0xc77...e6 ($6,634)",🟢 14%,90% out of 31,-30.9441
74824,13.2,(762) 513 - $360.4k,(511) 370 - $361.3k,2/2,206 out of 303,RENOUNCED (36),"$20,604.00",4 hrs 50 mins,4 hrs 30 mins,2 days ago,0x021...7b,218 (304.6 ETH),1 own 0.3%,19 own 3.1%,2 own 1%,3 own 2.6%,2.0,$169.00,"0x5eB...64 ($18,472)",🟢 8%,100% out of 9,-30.9142
39662,4.2,(208) 202 - $14k,(78) 35 - $8.1k,0/4.7,95 out of 195,0xd0D...74  (6),"$4,195.00",30 mins,11 mins,31 mins ago,Binance,172 (117.4 ETH),0 own 0%,14 own 6.5%,1 own 0.1%,1 own 0.6%,1.0,$149.00,"halfshibainu.eth ($6,156)",🟢🟢 42%,93% out of 14,-30.2512
44024,11.6,(14) 13 - $5.4k,(3) 3 - $1.1k,0/0,13 out of 20,RENOUNCED (113),$13.00,373 days 18 hrs,373 days 18 hrs,373 days ago,Binance,169 (440.7 ETH),0 own 0%,0 own 0%,6 own 3.7%,3 own 2.7%,1.0,$373.00,"0xd2f...E7 ($5,694)",🟢 37%,75% out of 393,-30.8732
61091,5.2,(257) 237 - $23.6k,(114) 53 - $15.8k,0/3.8,95 out of 195,RENOUNCED (8),"$9,078.00",33 mins,14 mins,34 mins ago,Binance,192 (233.4 ETH),0 own 0%,14 own 6.3%,1 own 0.1%,3 own 2.6%,1.0,$0.00,"0xC7d...2c ($5,548)",🟢 39%,100% out of 37,-34.1889
90619,6.3,(283) 257 - $32.9k,(134) 67 - $23.8k,0/0,95 out of 195,RENOUNCED (9),"$9,110.00",34 mins,16 mins,35 mins ago,Binance,204 (247.8 ETH),0 own 0%,14 own 6.3%,2 own 0.9%,3 own 2.6%,1.0,$373.00,"chewyalexander.eth ($6,465)",🟢 33%,85% out of 13,-30.6381
228449,14.1,,(64) 34 - $35.8k,1/2,0 out of 0 Unique,0xECF...02  (8),$750.00,2 hrs 54 mins,2 hrs 54 mins,4 hrs ago,Kraken,103 (75.4 ETH),0 own 0%,19 own 23.2%,19 own 23.2%,0 own 0%,2.0,$933.00,"0x302...41 ($28,853)",🟢 14%,90% out of 21,-35.6791
3070,1.3,(23) 23 - $533.3,(0) 0 - $0,56/42.8,0 out of 1,0x6BF...e5  (5),"$1,082.00",9 mins,0 mins,11 mins ago,Binance,24 (41.1 ETH),0 own 0%,15 own 6.2%,0 own 0%,0 own 0%,,$9.00,"0x9f7...91 ($29,210)",🟢 24%,72% out of 36,101.905
17326,2.7,(47) 37 - $6.2k,(48) 38 - $6.1k,0/0,203 out of 455,RENOUNCED (18),$988.00,1 days 8 hrs,1 days 8 hrs,1 days ago,Kucoin,60 (47.8 ETH),0 own 0%,1 own 0.5%,1 own 0.9%,1 own 1%,5.0,$373.00,"mgugga.eth ($7,412)",🟢 29%,100% out of 5,-42.7223
165024,8.6,,(198) 109 - $45.4k,0/0,95 out of 195,RENOUNCED (10),"$9,108.00",39 mins,21 mins,40 mins ago,Binance,260 (253.6 ETH),1 own 0.4%,12 own 5.1%,6 own 1.4%,3 own 2.6%,1.0,$93.00,"0xBdE...ae ($3,606)",🟢 8%,80% out of 10,-38.9253
5721,1.8,(48) 43 - $1.4k,(0) 0 - $0,28/33.6,0 out of 1,0x6BF...e5  (6),"$1,078.00",10 mins,2 mins,12 mins ago,Binance,44 (73.8 ETH),0 own 0%,15 own 6.9%,0 own 0%,0 own 0%,,$87.00,"0xc53...d2 ($4,136)",🟢🟢🟢🟢 91%,43% out of 30,-49.4439
11591,2.9,(24) 24 - $2k,(0) 0 - $0,0/23.9,1.1k out of 2k,0x945...4b  (4),$630.00,6 mins,0 mins,12 mins ago,FixedFloat,26 (32.9 ETH),0 own 0%,13 own 13.6%,0 own 0%,0 own 0%,1.0,$186.00,"0xd2f...E7 ($6,900)",🟢 37%,75% out of 396,116.9589
809731,42.3,,(436) 266 - $365.4k,0/0,0 out of 0 Unique,RENOUNCED (24),"$1,187.00",6 days 12 hrs,5 days 3 hrs,6 days ago,0xF38...0D,608 (454.4 ETH),1 own 0.3%,0 own 0%,11 own 2.3%,9 own 5.4%,,"$1,864.00","0xd80...b2 ($5,025)",🟢 24%,93% out of 15,-34.4269
